family	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Clostridiales Family XVII. Incertae Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000522336567213	0	0
Codonosigidae	0	9.87256772903e-05	0.000543408967889	0.000153284153225	5.89750851333e-06	0	4.99481261971e-05	0.000108892931538	0.000366514123248	0.00229487003956	0.00028350053728	0	0	0	2.63272067535e-05	0.000433742841416	0.000156892523192	0.000258436464844	0.000640378905951	0.000117247776791	0.000875479956947	6.16218385209e-05	1.18966196291e-05	0.000328016766787	0
Comamonadaceae	4.82643713146e-05	0.014572440093219	0.08461311880022	0.046014663471629	0.421984486103845	0.098948528287744	0.0075119683206215	0.28275080676492	0.0586217065847	0.04131570126513	0.04009226045238	0.015349162672886	0.011971451047005	0.02936063589205	0.014171265422645	0.02171749850839	0.047577613493249	0.017767911698988	0.00878786691061	0.100562291351708	0.02247599827244	0.008446239403623	0.0118038480828484	0.020950565575894	0.006491124868059
Conexibacteraceae	0	0	0	0	0	0	0	0.000237632518791	0	0	0	0.000461179491875	0	0	0	0	0.000342380032744	0	0	0	0	0	7.78844957419e-05	0.000858980828928	0
Coriobacteriaceae	0	0	0.126725599979	0.2672875035103	0.289755321781342	0.267464014034707	0.00546575621148	0.0173424886561	0.00312705609159	0.00391591312937	0	0.0841425254736	0.6560519469068	0	0.165320821804	0.00370064373622	0.061575087304	0.00587986670758	0	0	0.032594154302	0.0515235388306	0.344898978189	0.0750025094975	0
Corynebacteriaceae	0.00041856896472	0.0342561646015	0.01252212795761	0.012907471782037	0.0017318589446094	0.006618116609162	0.003803375999904	0.100640981783599	0.13289622503455	0.03154555299892	0.01918260141331	0.01803425034362	0.004249446787507	0.05533598750491	0.022471846610343	0.01026464595145	0.026978557260303	0.04585897578593	0.02950218084637	0.0339805924843	0.030974598285731	0.01355847629391	0.0031147731702192	0.00625348338724	0.004798674016244
Coxiellaceae	0	0	0	0	0.00191286232394	0	0	0.000735823390544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptomonadaceae	0	0	0	0.0205287592596	0.0695051030128	0	0	0	0	0	0	0	0.0322703159338	0	0	0	0	0	0	0	0	0	0.0828499713244	0	0
Cryptosporidiidae	0	0	0	0	2.69747698542e-05	0.000133718239257	0	0	0	0.00104965666472	0	0	0	0	0	0.000991953915511	0.000239204951005	0	0	0	0.000364034625766	0.000140926876861	0	0.000300064909526	0
Ctenocladaceae	0	0	0	0	0.0151034551825	0.00623918648371	0	0	0	0	0.0302517414017	0	0	0	0	0	0	0	0	0	0	0	0.403689254209	0	0.0089889958814
Cyanidiaceae	0	0	0	0.19356236214032	0.357118465544	0.227131961419	0	0.132707746376	0	0	0	0	0.013764981742	0	0	0	0	0	0	0.107167343228	0	0.00704048394329	0.03562463959025	0	0.00962459689755
Cyanophoraceae	0	0	0	0	0.00181072939357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyclobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236046722546	0	0
Cystobacteraceae	0	0	0	0	0	0	0	0	0.000743571645123	0.00093115117941	0	0	0	0	0	0	0	0	0	0.000475736768359	0	0	0	0	0
Cytophagaceae	0	0	0	0.000187891309318	0	0.000143341156096	0.000253632754083	0	0	0	0.00290741103458	0	0.000899837733136	0	0	0.0012958320977	0	0	0	0.001777298514225	0.001206449878502	0	0.0002009912363845	0	0
Debaryomycetaceae	1.24336404556e-05	0	0.000710777231374	0.000326514383415	7.33914857771e-05	0	3.91991957607e-05	0.000123709620862	0.001240598289366	0.000391068775327	0	0.000585535096178	0.000220841923075	0	0.000347939989612	0	0.0002943351064258	0.000921214591299	0.002404752725721	0	0.00058356233781	0.00024180351649	0.000186728895451	0	0.0002370531687705
Deferribacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000340181217445	0	0	0	0	0	0	0	0	0	0
Deinococcaceae	0	0.00142380158203	0	0.00442218129077	0	0	0	0.002526550813682	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000395058510147	0	0.0007084448636	0
Dermabacteraceae	0	0	0	0	0	0	0	0.000418034914985	0	0	0	0	0	0	0	0.00499535596873	0	0.000992125605255	0	0	0	0	0	0.000755544694854	0
Dermacoccaceae	4.73677617449e-05	0.00147585143391	0	0	0	0	0.000149335037636	0	0.0164370731867	0	0	0	0	0	0.000393565756188	0	0.000781796123284	0	0	0	0.00118977829668	0	0.000355685443143	0	0
Desulfarculaceae	0	0	0	0.000872839704769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729296699562	0	0	0	0.000270969744657	0	0
Desulfobacteraceae	0	0	0	0	0.000809278672911	0.000925782355384	6.38172479974e-05	0.000231882146078	0	0	0	0	0.000559178228366	0	0	0	0	0	0.00136365540828	0	0	0	0.0002015766961475	0	0
Desulfobulbaceae	0	0	0	0	7.92614202696e-05	0	0	0	0	0	0	0	0.000404800519508	0	0	0	0	0	0	0	0	0	0.002915138937817	0	0
Desulfomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0.00074386652556	0.00381664265001	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrionaceae	0	0	0.0617656431954	0.552846392455721	0.0750072815154	0.0816497635127	0.00558924447608	0	0	0	0	0.22795449196903	0.14219602229322	0	0.07598187693149	0.0188535595499	0.00862240451789	0.0171096607028	0.139177188474	0	0.000623363052841	0	1.11511975213683	0.0160906781558	0.01304582424065
Desulfurellaceae	0	0	0	0	0.000144906012664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfuromonadaceae	0	0	0	0	0	0.00031793167629	0	0	0	0	0	0	0.000327551889941	0	0	0	0	0	0	0	0	0	0	0	0
Dipodascaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33353885508e-05	0	0	0	0	0	0	0	0	0	0
Ectocarpaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283119452278	0	0
Ectothiorhodospiraceae	0	0.00118638118034	0	0	0.003963688725625	0.000351314119632	0	0.0013085605305	0.00220219030188	0	0.00340681078395	0.000846518935501	0	0	0	0	0.000628456351511	0	0	0.00140896025877	0	0	0	0.000788351986298	0
