order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Bacillales	0.0052360760699375	0.07032999899388	0.11102519258091	0.712374300543774	0.165820956944422	0.234553197174837	0.0208433847095749	4.95834733836596	0.09632520794304	0.23806180518643	0.17607569264302	0.207107052730478	0.237809568967599	0.21949597170074	0.387233128065916	0.11018332941251	0.077890607912582	0.198970924906133	0.37696518195896	0.14151626754951	0.211482815897842	0.507035120730907	2.77062272781315	0.139836288528244	0.066950646232989
Bacteroidales	4.16378192617e-05	26.4469488955741	4.15247528629197	22.0836334898617	14.254348605173	11.6631040061403	0.129023396444948	2.14553543694418	3.25019890996829	1.35753325861369	0.65604998434549	0.896394258821922	7.89903584321876	14.3102452946442	6.00790984641871	2.10031848736535	0.743541949625458	0.437385141188883	17.6571440876467	2.12377369887294	0.448625722749299	38.177839444401	36.5125515159893	0.997587982373123	0.86848536241264
Bacteroidetes Order II. Incertae sedis	0	0	0	0.000478516857925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438737564625	0	0
Bangiales	0	0	0.198646429574	0	0.0010779349245	0	0	0	0	0	0	0.0643778577684	0	0	0	0	0	0	0	0	0	0	0.00217444057143	0	0.00769854511807
Bicosoecida	0	0	0	0.221798500898	0.597348756436	1.01525249852	0	0.735305506179	0	0	0	0	0	0	0	0	0.0504488279722	0	0	0.113103151147	0	0	0.0918086605902	0	0
Bifidobacteriales	0	3.22958063724586	0.0162005148227	0.64652099385794	0.032578713906053	0.245943972334869	0.000823648385056	4.86765341229387	0.07128353933183	0.0234557223184	0.009218074771	0.0049760905947	0.000620841088242	1.44910446456936	0.002094939675261	0	0.08786034475236	0.00639929224623	0	2.5886387039769	0.00171447876664	0	0.265314103689707	0	0.00464331796221
Blastocladiales	0	0.000287844697199	0.000132030317163	0.000139661078688	6.87791301652e-05	0.000106546601614	5.82515254612e-05	0.000105829451756	0.00040072837326	0.00167273142555	0.0011365399231	0.000102692958511	4.39082272427e-05	0.00036556191506	0.000115139451013	0.000316155280664	0.000343077014541	0.000188374412843	0.000466772366965	0.000170923875805	0.00127627518001	2.24580878257e-05	6.07001460556e-05	0.0010520026649	9.21030617297e-05
Bryopsidales	0	0	0	0	0.00160030434298	0	0	0	0	0	0	0	0	0	0.00714395633526	0	0	0	0	0	0	0	0.00322817881757	0	0
Burkholderiales	0.0004771253807976	0.176179905798634	0.445642693217561	0.248511760238708	1.55229721459398	0.369050087133816	0.082629283588446	1.26402124718241	0.403355537425796	0.449735523360186	0.242802837777688	0.176817306533617	0.129023344143999	0.26428691270183	0.150151004137244	0.30960660738541	0.264266106703626	0.140535169187371	0.240574027543756	0.322726324566437	0.218266065044502	0.110344285728999	0.0715303515362996	0.155015268213237	0.071045967853789
Campylobacterales	0	0.02430450077562	0.02156951435169	0.0174197284385	0.0080953587315581	0.008398247196299	0.001054456105189	0.004373713690966	0.0219159697836	0.0105011917603	0.02402237430624	0.01411301834875	0.008848325239075	0.0229495046943	0.181491464268562	0.0393140385268	0.01064485495413	0.15920831817582	2.74242421650081	0.0107303800767	0.0182097515361	0.02387688444679	0.019760884790687	0.00750492818598	0.00472180252692
