order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0	363	161	208	348	252	1151	276	191	258	174	409	547	127	724	158	360	131	302	216	224	1141	214	167	187
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	18	125641	108777	504	5704	99140	1419	184679	237454	648	27443	47638	5188	113697	497	254550	283745	202483	46781	206188	302030	11727	205677	282039	44277
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	0	1	2	7	1667	5	2	77	0	0	1	1	4	0	1	0	9	0	1	0	0	0	8	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales	0	0	3	11	32	1	1	0	0	0	0	1	2	0	2	1	0	1	0	0	0	0	4	1	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	4	1	63	1279	78	6	16	4	3	15	10	4	4	8	1	6	3	3	2	1	4	46	4	1
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	0	0	0	3	258	0	1	110	0	0	2	0	0	0	2	0	2	0	0	2	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	0	0	6	3	585	0	6	106	2	2	1	3	4	0	1	2	5	2	2	4	0	1	2	4	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Sulfuricellales	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	0	0	12	282	605	35	5	3	0	1	0	11	59	0	1	0	5	1	0	0	0	2	149	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0	1	8	249	237	77	12	1	0	0	0	60	120	0	44	1	9	9	13	1	1	0	1332	9	8
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfurellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	0	0	0	20	64	12	1	8	0	0	0	1	6	0	1	1	0	0	0	0	0	1	29	0	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1	1	24	145	2599	116	13	218	1	11	0	6	9	0	6	2	20	4	0	11	2	1	122	1	0
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0	43	10	181	941	360	48	76	12	7	5	21	110	9	169	23	16	42	249	12	9	179	794	14	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales	0	0	0	0	1	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0	0	1	2	3	3	6	2	1	0	1	3	2	3	4	1	5	1	1	3	2	2	0	3	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	50	11	6	9	315	41	12	67	14	9	3	12	15	410	3445	383	322	767	160	1273	360	162	91	584	281
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0	1	1	28	565	82	3	66	1	1	1	1	7	0	1	0	3	1	0	3	1	1	25	0	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0	3	3	0	8	2	5	2	0	0	3	1	2	1	3	0	2	2	0	0	1	3	10	2	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	54	650	1797	210	18780	2631	194	5975	119	45	60	144	611	170	590	2112	212	197	44	279	134	171	11150	1358	111
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	0	2	0	0	23	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0
