species	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Cyanobium sp. PCC 7001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000964200557821	0
Cyanophora paradoxa	0	0	0	0	0.00181072939357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanothece sp. ATCC 51142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000234921891565	0	0	0
Cyanothece sp. CCY0110	0	0	0	0	0	0	0	0.000256982339929	0	0	0	0	0	0	0	0	0	0.000609898241518	0	0	0	0.00021813708241	0	0.000464462743768	0
Cyanothece sp. PCC 7424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000547212945835	0	0	0	0	0	0	0
Cycloclasticus sp. P1	0	0	0	0	0.000103897908163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Debaryomyces hansenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000729525511241	0	0	0	0	0	0
Dechloromonas aromatica	0	0	0	0	0	0.00189287498556	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108449369318	0	0	0	0	0
Dehalobacter sp. CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172449622566	0	0	0	0	0	0
Deinococcus deserti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007084448636	0
Deinococcus geothermalis	0	0	0	0.00442218129077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000395058510147	0	0	0
Deinococcus gobiensis	0	0	0	0	0	0	0	0.000685964832512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus proteolyticus	0	0.00142380158203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus radiodurans	0	0	0	0	0	0	0	0.00184058598117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia acidovorans	1.94931777438e-05	0.00182206420136	0.0156007645064	0	0.171537210465	0.00233806795222	0	0.100485465272	0	0	0	0.00693385621737	0.00889408598818	0	0.00404908684549	0.00133418060636	0.0128692513467	0.00052996212878	0.00393957449188	0.0165899375617	0	0.00170592315605	0.00541586206357	0	0.00207294117815
Delftia sp. Cs1-4	0	0	0.034966534597	0.00143177201918	0.00029379467243	0.0304020802941	0.00261266567203	0.000226028804359	0.0296701279655	0.0114322953501	0.0185365342543	0	0	0.0109306558517	0.000655767860839	0	0.000325661444954	0.00858297548998	0	0.0255539484051	0.00693852106484	0	7.40813569632e-05	0.00939591821544	0.000262282941407
Denitrovibrio acetiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000340181217445	0	0	0	0	0	0	0	0	0	0
Desulfarculus baarsii	0	0	0	0.000872839704769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729296699562	0	0	0	0.000270969744657	0	0
Desulfatibacillum alkenivorans	0	0	0	0	0	0	6.38172479974e-05	0.000231882146078	0	0	0	0	0	0	0	0	0	0	0.00136365540828	0	0	0	7.59998004935e-05	0	0
Desulfitobacterium dehalogenans	0	0	0	0.000738327055423	0.00272703890339	0.019714285312	0	0	0	0	0	0	0.000870463493666	0	0	0	0	0	0	0	0	0	0	0	0
Desulfitobacterium hafniense	0	0	0	0	0.000385820120028	0	0	0	0.00289047681651	0	0	0.00611102430905	0	0	0	0	0	0	0	0	0	0	0.006075380088895	0	0
Desulfobacula toluolica	0	0	0	0	0	0	0	0	0	0	0	0	0.000241246439039	0	0	0	0	0	0	0	0	0	0	0	0
Desulfococcus oleovorans	0	0	0	0	0.000809278672911	0.000925782355384	0	0	0	0	0	0	0.000317931789327	0	0	0	0	0	0	0	0	0	0.000125576895654	0	0
Desulfomicrobium baculatum	0	0	0	0	0	0	0	0	0	0	0	0.00074386652556	0.00381664265001	0	0	0	0	0	0	0	0	0	0	0	0
Desulfosporosinus acidiphilus	0	0	0	0	4.91933863025e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92342789816e-05	0	0
Desulfosporosinus meridiei	0	0	0	0.0121124922639	0	0.00374616806877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000679904700385	0	0.000101629104063	0	0
Desulfosporosinus orientis	0	0	0	0.000272115221225	0.000376900447964	0	0	0	0	0	0	0	0.00021387664126	0	0	0	0	0	0	0	0	0.0015315044521	8.44771286294e-05	0	0
Desulfotalea psychrophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000676701888497	0	0
Desulfotomaculum acetoxidans	0	0	0	0	5.40152672193e-05	0.00401643450414	0	0	0	0	0	0	0.00027586445155	0	0	0	0	0	0.0332362974422	0	0	0	0.0288746947982	0	0
Desulfotomaculum carboxydivorans	0	0.00142113391242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfotomaculum reducens	0	0	0	0.0344900866226	0.011160273536	0.0141681511991	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0162348498836	0	0	0.0260819219962	0	0
Desulfotomaculum ruminis	0	0	0	0	0.000618624915504	0.00429327141149	0	0	0	0	0	0	0	0	0	0	0	0	0.0179128455432	0	0	0	0.000124790753523	0	0
Desulfovibrio aespoeensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272957493314	0	0
Desulfovibrio africanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106121417663	0	0
Desulfovibrio alaskensis	0	0	0	0	0.00164556182456	0.0234930602619	0	0	0	0	0	0	0.00369782275978	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio desulfuricans	0	0	0.0393673868391	0.502487924029	0.0273437665111	0.0313453396207	0.00173688163906	0	0	0	0	0.226587165552	0.0130920852454	0	0.030135032036	0.0188535595499	0	0	0.139177188474	0	0	0	0.511251393707	0	0.00793355482372
Desulfovibrio magneticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000623363052841	0	0.00130448517186	0	0
Desulfovibrio salexigens	0	0	0	0	0	0	0	0	0	0	0	0.00136732641703	0	0	0	0	0	0	0	0	0	0	0.00127003567396	0	0
Desulfovibrio vulgaris	0	0	0.0223982563563	0.012305970356021	0.04601795317974	0.0268113636301	0.0014329429611	0	0	0	0	0	0.00869026934804	0	0.04584684489549	0	0.00862240451789	0.0171096607028	0	0	0	0	0.479810245762066	0.0160906781558	0.00511226941693
Desulfurispirillum indicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438045406551	0	0	0
Desulfurivibrio alkaliphilus	0	0	0	0	7.92614202696e-05	0	0	0	0	0	0	0	0.000404800519508	0	0	0	0	0	0	0	0	0	0.00223843704932	0	0
Desulfuromonas acetoxidans	0	0	0	0	0	0.00031793167629	0	0	0	0	0	0	0.000327551889941	0	0	0	0	0	0	0	0	0	0	0	0
Dethiobacter alkaliphilus	0	0	0	0	7.87786669297e-05	0	0	0	0	0	0	0	0.000402335022396	0	0	0	0	0	0	0	0	0	0.00540309426089	0	0
Dickeya dadantii	0	0	0	0	0	0	0	0	0	0	0	0	0.00025472811454	0.00885986865536	0.000222655730733	0	0	0.00218566141356	0	0.0050654003184	0	0	0	0	0
Dickeya zeae	0	0	0	0	0	0	0	0	0	0	0	0	0.000260493166538	0	0	0	0	0	0	0	0	0.00026647299513	0	0	0
Dictyostelium discoideum	0	0	0	4.69057672675e-05	0	3.57841293038e-05	0	0	0.000224310547485	0	0	0	0	0	0	0	0.000192039790781	0	0	0	0	0	0	8.0299902105e-05	0
Dinoroseobacter shibae	0	0.000930376748212	0	0.000361132017384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dokdonia sp. 4H-3-7-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014610538954	0	0
Dorea formicigenerans	0	0.49023598084	0.383452899271	20.811041792	39.5394603316	3.41034626906	0.234187170483	2.264869981	0	0.569774700779	0	0.0441850399683	0.702943965103	0	1.31557051792	0	0.93283559363	0.514446482027	0.41282780761	0.516328362599	0.0426411436513	1.87339420773	4.2603457628	1.30305003368	0.232267587144
Dyadobacter fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0.000899837733136	0	0	0.0012958320977	0	0	0	0	0	0	7.10836933664e-05	0	0
Ectocarpus siliculosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283119452278	0	0
Edwardsiella tarda	0	0	0	0	0	0	0	0	0	0	0.00158269104851	0	0	0	0	0	0	0	0	0	0.00261310451038	0	0	0	0
Eggerthella lenta	0	0	0	0.0588581489686	0.0830778010942	0.430595155325	0	0.000416047549842	0	0	0	0.0153412477954	0.113581661994	0	0.0742342670498	0	0	0.0118489077081	0.0073400928149	0	0	0.000353158114645	0.0834525346904	0.0233105363751	0.0154489584383
Eggerthella sp. YY7918	0	0	0	0	0.000393020095648	0.000389652667784	0	0	0	0	0	0.0338003523119	0	0	0.00105269416327	0	0	0	0	0.0031254372822	0	0.0102664628693	0.000158562232643	0	0
