class	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Blastocladiomycetes	0	0.000287844697199	0.000132030317163	0.000139661078688	6.87791301652e-05	0.000106546601614	5.82515254612e-05	0.000105829451756	0.00040072837326	0.00167273142555	0.0011365399231	0.000102692958511	4.39082272427e-05	0.00036556191506	0.000115139451013	0.000316155280664	0.000343077014541	0.000188374412843	0.000466772366965	0.000170923875805	0.00127627518001	2.24580878257e-05	6.07001460556e-05	0.0010520026649	9.21030617297e-05
Chlamydiia	0	0	0	0	0	0	0	0	0	0	0.00224531886218	0	0	0	0.0080467648685	0	0	0	0	0.00398179259125	0	0	0.000565326006907	0	0
Chlorobia	0	0	0	0.000618458222146	0	0.00091230559592	0	0	0	0.00404014942691	0	0	0.000486094701782	0	0	0	0	0	0	0	0	0	0.001088240846149	0	0
Chloroflexia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.65403562424e-05	0.00402522467631	0
Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438045406551	0	0	0
Chytridiomycetes	0	0.000693063844489	0.000635797289945	0	5.17513532869e-05	0.000256539717599	3.50640697712e-05	0.00012740649282	0.00225134415385	0.00241653158916	0.000497550327521	0.000494522062212	0.000158581372561	0	9.2409774377e-05	0	0.000275350188217	0.000453562271734	0.000374626843686	0.000205772695542	0.000558723121747	0	0	0.000345406434809	7.39209982243e-05
Clostridia	0.0015847025559015	9.41362341555943	4.36213658698883	48.2644123212716	72.9887674412416	60.4374836029564	0.459801395928455	5.68658608472172	1.82486152144915	1.4404193714467	0.7392247691952	2.0842108966669	13.8764239184161	2.51660211054372	3.26531865703179	1.96835681975551	1.73298869120247	1.06759952808264	17.2168262734338	1.26456013499959	0.163236030057768	16.1852639596026	19.1602115605979	2.26116941721968	0.502572169238486
Coccidia	0	0	0	0	2.69747698542e-05	0.000133718239257	0	0	0	0.00104965666472	0	0	0	0	0	0.000991953915511	0.000239204951005	0	0	0	0.000364034625766	0.000140926876861	0	0.000300064909526	0
Coriobacteriia	0	0	0.1719967660292	0.39539613231292	0.4072449950991	1.18811610473904	0.009100238623407	0.027547291090072	0.00312705609159	0.00391591312937	0.00382272370175	0.1332841255809	0.777836653010169	0.00508802158595	0.359378312926109	0.00370064373622	0.1052228703831	0.02122459109059	0.0073400928149	0.05355610389931	0.03688687405733	0.062143159814545	0.57841368579852	0.10496856844182	0.0154489584383
Coscinodiscophyceae	0	0.000284387783695	0.000260889359046	0.000938289828354	0.000152894513293	8.4213611543e-05	8.63279177138e-05	0.000470513147796	0	0.000330528501973	0.00714566668221	0.00497152295894	0.000130142714662	0.00361171645123	0.000189594444551	0.00312358367016	0	0.000496298939852	0.00276699957073	0	0.000343894790263	0.000177506992762	0.000479769269323	0.00236220109808	0.000788640115248
Cryptophyta	0	0	0.0119244396239	0.0205287592596	0.0828553150671	0	0	0	0	0	0	0	0.03413416616851	0	0	0	0	0.00567106949597	0	0	0	0	0.0828499713244	0	0
Cytophagia	0	0	0	0.000187891309318	0	0.000143341156096	0.000253632754083	0	0	0	0.00290741103458	0	0.000899837733136	0	0	0.0012958320977	0	0	0	0.001777298514225	0.001206449878502	0	0.0028243037761265	0	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000340181217445	0	0	0	0	0	0	0	0	0	0
Deinococci	0	0.00142380158203	0	0.00442218129077	0.000108475545282	0	0	0.003797510837588	0.00570267665508	0	0	0.003538252737813	0	0.0135984309928	0.001945666884804	0	0.04329500078441	0	0.00754678555547	0.0021193824579	0.007714751976642	0.005816503482041	0.012190463194081	0.00307480806455	0
Deltaproteobacteria	0	0.000890606299658	0.062513743458799	0.556138057838732	0.0822892790306196	0.084259396050674	0.0056530617240774	0.001114065783549	0.000743571645123	0.00093115117941	0	0.229269348121506	0.147304195581045	0	0.077183165852735	0.0188535595499	0.00862240451789	0.0171096607028	0.14956403129114	0.000475736768359	0.000623363052841	0	1.11903517004986	0.016608164552617	0.01304582424065
Dothideomycetes	0	0.000992142708536	0	4.27896546635e-05	6.58521699344e-06	0	4.44544703763e-05	0	0	0	0.000316559535527	7.86582108697e-05	0	0.000275897545551	5.87944447765e-05	0.000968643190127	0.000233583680867	0	0.000238351163839	0	8.88699705966e-05	0	1.3283884469e-05	7.32533605301e-05	0
Elusimicrobia	0	0	0	0	0	0.00074055419779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
