genus	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Incertae_sedis	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3432	0	69	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella	1	0	0	7	0	0	1	0	0	4	0	834	1	0	44	0	1	0	545	0	0	4	0	2	13	516	4	0	0	0	0	5	5	4	0	0	605	0	1	0	4	0	0	2	4	7	209	3	0	7	1	2	1	719	1	3175	566	0	7	18	1063	4	0	1	0	0	0	4	0	1319	1	0	1	363	2	0	846	0	0	0	1	0	0	9	20	176	0	0	0	2
Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella	4	4	2	3	0	1	17	4	1	13	23	1	76	3	0	817	0	3	1873	2693	0	11	3	5	2	9734	4	2	2	0	1286	38	5	1	3	7445	742	0	38	371	24	12	1	3	1967	13	7	8	15	11	0	1	1	11	0	562	4808	2	7	31	5	4	2	7	4398	26	2	3	24	2952	0	1	1	0	1	13	23	0	42	1	9	10	2	0	2	0	2	4	9	35
Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes	141	76	735	48	660	813	162	103	27	12	1992	960	1806	819	893	44	311	538	326	32	354	69	10	609	27	548	6	6	1858	2754	1300	860	90	759	619	121	544	5	1050	69	18	2168	2032	425	470	11	353	14	9	995	77	120	2966	319	661	567	869	5	12	4373	1222	3	1	101	171	2704	364	5	2979	1057	1246	484	597	213	29	743	284	45	888	2106	1603	340	631	121	23	246	3672	32	2113	411
Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenella	0	0	0	0	0	0	0	0	0	1	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales_unassigned_unassigned	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	2	0	0	1	0	1
Bacteroidetes_Flavobacteria_Flavobacteriales_Flavobacteriaceae_Capnocytophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Flavobacteria_Flavobacteriales_Flavobacteriaceae_Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Flavobacteria_Flavobacteriales_Flavobacteriaceae_Planobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Cytophagaceae_Adhaeribacter	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Cytophagaceae_Dyadobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Cytophagaceae_Hymenobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Saprospiraceae_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Sphingobacteriaceae_Pedobacter	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Sphingobacteriaceae_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	2	0
Bacteroidetes_unassigned_unassigned_unassigned_unassigned	89	37	0	222	7	6	23	12	29	89	6	6	116	26	14	8	12	2	9	28	3	16	61	43	37	0	33	14	21	15	18	42	32	7	10	4	8	11	18	8	41	0	6	0	12	28	44	62	50	27	0	44	5	86	32	3	1	18	48	214	2	9	3	28	1	22	7	6	8	2	9	13	102	3	7	7	47	8	1	4	35	5	9	33	85	11	2	39	4	15
DeinococcusThermus_Deinococci_Deinococcales_Deinococcaceae_Deinococcus	0	4	13	9	44	0	1	0	0	260	0	0	1	0	0	8	0	28	0	0	0	0	93	0	0	0	50	0	1	0	1	18	2	40	100	0	0	0	0	14	1	0	0	5	35	3	0	357	2	0	0	0	14	0	0	0	7	0	0	0	0	0	0	95	0	0	1	0	2	0	156	0	1	4	0	0	349	749	0	0	0	0	0	0	0	2	0	332	0	0
DeinococcusThermus_Deinococci_Thermales_Thermaceae_Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Tumebacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Bacillaceae_1_Anaerobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Bacillaceae_1_Bacillus	0	1	7	2	16	0	0	1	0	137	0	0	6	0	0	0	0	10	0	0	1	0	93	0	0	0	29	1	0	0	0	7	0	22	93	0	0	0	0	28	0	0	0	1	16	1	0	225	1	0	0	0	10	0	2	0	2	0	0	1	0	0	0	34	0	3	0	0	1	1	128	0	6	3	0	1	224	363	2	1	0	1	0	0	1	1	0	219	0	0
Firmicutes_Bacilli_Bacillales_Bacillaceae_1_Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Bacillales_Incertae_Sedis_XI_Gemella	0	1	0	115	0	0	10	29	7	12	0	0	0	0	2	11	0	0	1	4	0	3	0	0	7	0	6	2	0	1	13	17	0	3	1	0	0	3	0	0	5	1	0	0	11	13	1	0	2	0	0	1	1	0	2	3	0	0	6	8	2	1	1	5	0	0	4	0	2	0	0	1	1	5	1	0	0	0	3	1	1	0	3	2	0	3	0	10	0	1
Firmicutes_Bacilli_Bacillales_Bacillales_incertae_sedis_Calditerricola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Listeriaceae_Listeria	0	0	3	0	12	9	0	0	0	106	1	0	0	0	0	0	1	8	0	2	9	0	59	0	0	0	24	1	1	1	20	11	0	23	33	0	0	0	0	8	0	0	0	2	24	2	0	113	0	0	1	0	10	0	4	0	7	1	0	0	0	0	0	27	0	1	4	0	0	0	82	0	0	2	0	6	208	243	0	0	1	0	0	0	0	0	0	150	0	0
Firmicutes_Bacilli_Bacillales_Paenibacillaceae_1_Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	36	12	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Paenibacillaceae_2_Oxalophagus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Planococcaceae_Kurthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Planococcaceae_Lysinibacillus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Firmicutes_Bacilli_Bacillales_Planococcaceae_Planococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Planococcaceae_Rummeliibacillus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Planococcaceae_Viridibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Macrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus	0	2	11	8	33	0	2	3	0	215	0	1	11	0	2	4	0	19	0	0	0	0	116	0	1	0	60	1	3	0	1	35	10	69	138	0	0	2	0	28	3	0	0	4	45	2	3	428	0	4	0	0	17	3	0	0	6	3	2	2	1	3	1	82	0	1	2	0	2	0	220	0	1	3	4	2	557	638	0	0	1	0	1	0	0	8	0	442	0	0
Firmicutes_Bacilli_Bacillales_Thermoactinomycetaceae_1_Desmospora	0	26	101	0	58	0	0	0	0	0	66	0	0	13	0	0	0	15	15	15	1	0	0	0	0	1	0	0	0	142	3	0	0	0	0	0	20	0	4	46	0	0	0	0	9	0	5	0	0	0	4	0	0	0	174	0	6	0	0	0	5	0	10	0	0	5	1	0	9	6	0	2	0	0	0	27	1	0	0	0	0	7	0	0	0	15	0	0	0	0
Firmicutes_Bacilli_Bacillales_unassigned_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Abiotrophia	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Granulicatella	2	3	0	59	0	1	1	20	0	12	5	0	3	0	0	3	1	0	0	14	0	4	1	0	5	0	25	4	0	8	0	1	1	4	2	0	0	4	0	0	50	2	6	1	0	16	1	4	7	0	0	21	0	1	0	0	1	0	13	4	0	6	0	8	0	2	4	6	1	2	0	1	0	4	1	0	0	8	2	3	1	3	2	5	6	0	3	46	0	3
Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus	0	0	22	28	6	0	13	50	0	55	1	0	0	0	0	1	0	3	0	0	0	2	39	0	0	6	15	63	0	0	0	2	1	12	36	0	0	11	0	22	0	4	0	2	7	8	1	94	36	0	0	1	5	0	0	0	3	0	1	0	0	30	0	35	0	2	0	13	3	0	44	0	0	2	669	0	167	211	0	0	5	0	2	8	0	1	0	80	0	0
Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus	19	14	24	101	12	1	7	276	38	71	3	1	132	0	10	1	3	6	1	16	2	21	24	8	8	0	18	5	12	5	5	7	33	10	26	2	0	66	1	7	38	0	1	15	8	13	28	80	72	50	3	29	34	8	7	2	4	7	19	64	0	1007	1	22	8	2	5	1	6	1	31	0	17	203	7	0	156	131	8	0	0	0	1	26	13	1	0	87	0	6
Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Pediococcus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Leuconostoc	0	8	0	0	6	0	0	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	2	0	8	0	1	0	19	4	0	0	0	1	0	0	2	0	0	0	6	0	6	0	2	0	0	0	0	2	3	0	0	0	0	0	0	3	0	0	40	6	1	0	0	0	4
Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Oenococcus	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Lactobacillales_Leuconostocaceae_Weissella	0	0	0	31	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	73	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	13	0	1	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus	0	0	2	0	1	4	0	28	20	0	1	6	0	2	0	0	1	1	2	0	1	16	2	0	1	7	55	0	10	41	0	15	8	3	2	0	0	173	0	3	25	0	0	0	0	7	18	19	21	0	0	18	18	4	1	2	2	0	1	77	0	87	0	22	0	0	2	1	1	4	3	121	0	1	0	0	2	0	0	6	9	0	0	1	8	0	3	0	0	14
Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus	151	664	25	5222	288	315	67	2152	264	176	177	86	1099	202	73	156	128	12	118	258	17	1091	130	40	113	11	387	73	73	248	75	79	1127	241	92	1	4	588	25	66	2018	17	30	45	625	215	476	2619	443	91	4	670	175	74	59	9	89	695	317	98	13	874	101	896	117	38	447	51	673	6	128	242	50	3327	27	69	368	757	103	247	46	144	193	67	86	849	50	529	33	76
Firmicutes_Bacilli_Lactobacillales_unassigned_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Firmicutes_Bacilli_unassigned_unassigned_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_1_Anaerosporobacter	2	65	14	1	12	406	22	1	0	76	9	5	76	13	14	35	11	68	21	801	82	11	2	0	2	645	2	3	100	8	457	1	1	7	192	94	3	192	51	3	0	147	0	21	195	0	55	17	1	1	127	2	52	645	65	3	33	9	0	0	204	66	2	1	1	5	41	0	6	33	306	66	72	5	1052	86	204	13	0	4	352	65	166	37	4	825	4	46	11	5
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_1_Caloramator	0	0	98	0	0	0	0	0	1	0	2	0	0	3	0	0	0	3	0	0	1	0	2	0	0	3	0	0	0	6	0	0	0	0	0	0	2	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	3	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_1_Clostridium_sensu_stricto	644	463	804	139	80	10	439	105	8	416	170	152	84	101	1071	631	93	687	316	483	402	139	183	13	0	167	106	613	20	155	251	128	5	85	2202	916	8	7	43	800	4	10	600	12	75	46	298	622	810	27	7	3	568	694	2169	1	83	3	19	22	42	950	20	91	0	20	1282	5	15	217	393	5	35	5	618	318	1384	828	7	1	290	78	5	43	1494	25	271	557	66	18
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_1_Proteiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_1_Sarcina	0	0	338	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_Clostridiales_Clostridiaceae_1_unassigned	2	4	1	0	0	0	1	0	0	0	1	0	0	0	9	2	0	2	0	4	1	0	0	0	0	2	0	0	1	0	0	0	0	0	11	4	0	0	0	13	0	0	1	0	0	0	0	0	1	0	0	0	3	1	3	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	6	0	2	0	0	0	0	3	0	1	2	0	1	0	0	0
