order	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Firmicutes_Clostridia_Clostridiales	18459	16008	10838	13357	12436	11868	14328	8208	17131	19632	8709	11378	5774	16466	15411	12139	8995	11396	9383	14596	12129	20383	12582	16187	20698	7876	18869	15073	16732	11305	12307	9720	14530	11543	16776	9176	9930	16987	11916	10503	2150	12506	4742	9309	11685	16361	16704	10772	10213	13846	9799	19836	10500	18083	18417	8470	7913	4745	14039	10038	10080	9715	12930	20304	6625	9530	17480	6960	7877	9145	11839	13537	17726	11238	20151	10847	16072	15712	10088	18209	15196	17875	9721	18374	18888	16199	6874	19677	6760	7357
Firmicutes_Clostridia_Natranaerobiales	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0
Firmicutes_Clostridia_Thermoanaerobacterales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Clostridia_unassigned	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	181	11	0	12	0	0	0	0	2	0	0	0	26	3	0	0	4	0	1	1	0	0	6	0	7	0	1	3	0	1	0	0	0	0	0	1	0	118	0	3	0	0	0	19	0	0	0	0	17	12	0	38	7	6	0	0	1	1	37	4	1	0	0	191	25	1	0	0	4	0	0	1	0
Firmicutes_Erysipelotrichia_Erysipelotrichales	224	344	169	185	295	574	571	512	114	293	280	49	103	442	309	1688	181	417	400	257	197	137	37	140	151	232	440	31	371	139	77	199	82	164	284	45	200	135	272	177	160	31	103	186	91	100	98	287	1259	230	26	86	334	553	367	31	165	37	924	52	300	193	161	622	118	172	812	178	386	418	140	291	564	2266	116	684	121	445	138	265	60	1332	346	843	1094	462	414	311	45	57
Firmicutes_Incertae_sedis_Incertae_sedis	0	1	26	0	45	1	0	0	1	0	5	0	0	24	2	0	1	12	16	0	15	0	1	1	0	6	0	1	6	18	0	3	0	12	0	0	11	0	4	20	3	0	8	0	12	0	4	0	0	0	0	0	1	0	8	3	0	0	0	4	0	2	0	0	0	0	1	0	8	9	1	0	0	0	2	15	6	0	0	1	22	1	0	0	0	37	0	0	0	0
Firmicutes_Negativicutes_Selenomonadales	1487	478	797	314	10	2434	75	474	2765	36	42	29	84	108	88	2071	493	2051	276	1020	2888	522	413	328	192	1262	336	4334	1611	26	1057	1184	1484	993	1079	1432	400	1822	288	3396	8902	1397	1083	2104	130	41	1268	19	183	13	2299	1093	433	964	117	2192	490	3	1796	64	850	584	390	561	1316	1254	113	246	740	740	1314	198	292	638	444	209	36	66	1712	119	740	85	759	693	208	2514	1373	48	3021	3379
Firmicutes_unassigned_unassigned	0	1	50	0	20	6	0	0	1	0	18	0	0	97	63	1	98	119	171	166	41	0	0	1	0	47	0	0	39	182	23	1	62	172	110	40	139	0	0	2	0	0	15	0	145	0	22	1	3	0	1	0	96	134	34	0	45	0	0	11	55	0	9	148	0	1	120	0	9	56	101	166	3	5	53	151	117	0	0	236	145	93	54	93	19	35	1	0	0	47
Fusobacteria_Fusobacteria_Fusobacteriales	0	0	0	0	0	2	0	29	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	4	3	3	6	10	4	7	2	402	40	0	0	59	8953	2	503	3	9	1	3	62	0	1	0	0	1	16	6	1	2	14060	13	23	0	0	2	0	2	1	2	0	0	0	0	0	44	2	0	0	0	7	1	1	0	0	0	0	0	0	381	1	0	0
Lentisphaerae_Lentisphaeria_Victivallales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
