family	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiales_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	97	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Betaproteobacteria_Burkholderiales_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae	0	0	0	3	0	0	0	0	0	1	4	0	0	2	4	0	0	3	2	0	0	0	2	1	1	7	3	0	0	0	0	2	0	3	0	0	3	0	0	0	0	15	0	0	0	0	3	0	2	5	0	0	8	0	8	0	1	0	0	3	49	1	0	0	0	1	3	0	12	15	0	1	0	0	0	5	8	1	24	1	87	0	1	0	0	0	0	1	0	1
Proteobacteria_Betaproteobacteria_Burkholderiales_Sutterellaceae	25	0	9	0	5	0	2	0	0	17	10	0	9	8	5	0	3	10	2	2	8	42	0	0	1	9	0	0	0	26	80	0	2	59	30	110	0	0	131	12	591	257	0	359	4	0	5	151	0	212	3	28	62	7	13	97	14	0	5	7	132	0	0	33	757	2	12	29	23	54	23	173	35	68	61	2	7	1	3	4	224	0	265	9	48	0	0	0	261	268
Proteobacteria_Betaproteobacteria_Burkholderiales_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae	0	0	7	4	10	0	2	0	0	125	0	2	0	0	2	0	0	2	0	0	0	0	51	0	0	0	54	0	0	0	1	6	2	36	53	0	0	0	0	12	0	0	0	3	20	2	0	195	1	0	0	0	14	0	0	0	5	0	0	0	1	0	0	46	1	0	0	1	1	0	125	0	0	1	0	0	263	425	1	0	0	0	2	2	0	3	0	230	0	0
Proteobacteria_Deltaproteobacteria_Bdellovibrionales_Bdellovibrionaceae	0	4	20	3	2	0	0	0	0	0	1	0	0	1	0	0	0	2	3	0	0	1	0	0	1	0	0	0	0	19	0	0	0	0	0	0	8	1	6	0	0	154	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	22	2	3	0	0	2	0	8	13	0	0	12	0	1	0	0	0	0	0	0	0
Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobacteraceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae	0	6	149	0	76	74	0	0	43	620	6	0	0	41	18	0	1	57	465	24	131	7	0	92	7	287	22	0	26	143	0	0	0	41	405	388	219	0	76	30	79	119	111	131	5	68	26	1	0	74	0	0	113	8	50	214	10	54	222	0	61	1	0	0	16	7	4	0	97	48	83	16	199	1	1	107	7	0	1	2	44	45	387	5	0	305	159	0	56	110
Proteobacteria_Deltaproteobacteria_Desulfovibrionales_unassigned	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	4	7	133	7	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	4	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1	0	0	3	6	0	0	0	0	0	0	0	0	0	8	0	0
Proteobacteria_Gammaproteobacteria_Aeromonadales_Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Gammaproteobacteria_Cardiobacteriales_Cardiobacteriaceae	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae	204	446	3325	789	739	300	6738	4364	269	129	31	9	150	26	37	344	35	130	101	243	7	69	148	48	48	522	64	70	83	45	153	1903	46	105	85	1073	6	3251	5	6723	30	6	61	66	79	2583	53	4726	9713	877	3	70	9	70	50	30	631	3499	760	149	40	1948	0	43	4	401	132	425	47	7	75	3	88	1188	36	67	301	279	188	24	42	6	26	1048	84	53	1709	143	88	1554
Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae	11	31	0	2081	0	1061	245	4426	1	1	0	0	2	1	2	2	113	7	0	56	0	0	0	2	67	53	0	74	0	1	16	0	0	65	13	0	21	0	1	0	0	8	0	0	352	0	19	2	0	0	1	4	3	2	2	0	3	0	0	0	32	56	25	0	10	0	241	1	0	0	111	0	1	34	106	0	21	0	0	3	0	0	607	114	2	1	1	0	0	1
Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae	0	1	6	11	8	0	0	2	0	78	0	0	0	1	0	7	0	5	0	0	0	0	35	1	0	0	20	0	3	0	1	5	1	13	55	0	0	0	0	8	0	0	0	4	11	1	0	128	2	1	0	0	5	0	0	0	2	0	0	0	0	0	0	49	0	0	0	0	1	0	99	0	1	2	2	0	139	305	0	0	0	0	1	0	0	4	1	138	1	0
Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae	11	5	6	29	13	8	23	4	2	63	4	2	34	1	2	3	580	4	0	3	0	5	39	7	3	1	36	4	10	8	1	10	7	14	46	0	15	2	2	11	5	2	0	2	13	3	14	134	15	9	0	8	9	6	3	0	5	4	6	16	1	4	0	22	0	2	8	6	3	0	87	0	27	3	4	0	228	213	1	3	2	1	6	3	4	5	2	128	0	4
Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Gammaproteobacteria_unassigned_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0
Proteobacteria_unassigned_unassigned_unassigned	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Synergistetes_Synergistia_Synergistales_Synergistaceae	0	0	100	0	2	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	6	0	0	0	0	1	0	1	0	44	0	0	0	1	0	0	214	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	11	0	66	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	62	0	0	0	0	0	8	0	0	0	2	0	0	0	0
TM7_Incertae_sedis_Incertae_sedis_Incertae_sedis	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Tenericutes_Mollicutes_Anaeroplasmatales_Anaeroplasmataceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenericutes_Mollicutes_Entomoplasmatales_Spiroplasmataceae	0	428	12	0	77	18	0	52	0	0	0	0	1	1	581	1	70	24	106	0	897	0	0	0	0	46	0	0	1	1	0	0	0	219	0	32	0	0	0	0	0	2	1	0	1	3	77	1	0	0	195	1	0	0	90	0	221	1	0	0	0	0	0	0	0	0	1523	0	57	73	35	0	0	0	195	105	66	0	0	0	161	131	0	1	7	9	0	0	0	0
Verrucomicrobia_Opitutae_Puniceicoccales_Puniceicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales_Verrucomicrobiaceae	60	1251	356	7	701	199	6	2513	502	5	6363	2929	16	2918	83	18	4063	2822	1286	2805	603	4	3	5	970	276	3764	11	526	1013	1231	4	1328	663	3	11	2516	39	1297	46	5	23	1476	5847	0	18	18	5	76	3139	8101	257	26	718	2	113	2985	33	65	3	545	2	4181	2	1	2334	4	4	1299	357	4	2036	4	153	1378	5513	116	3	2	706	2440	1067	302	0	321	3	4	3	2309	1
unassigned_unassigned_unassigned_unassigned	184	21	1790	1	265	1191	1252	253	31	11	1686	3	45	1579	420	613	29	647	234	52	168	13	146	344	12	105	4	721	441	206	561	8	822	554	547	231	237	94	419	94	5	234	56	43	1563	0	77	4	3	886	25	9	936	140	74	6	211	2	329	52	46	6	94	3	90	151	407	5	119	227	623	266	130	28	205	1333	43	268	426	185	828	219	90	60	345	257	1	13	75	400
