family	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae	5	4	2	10	0	1	20	4	1	17	23	835	77	3	44	817	1	3	5850	2693	69	17	5	8	15	10250	8	2	2	0	1286	43	10	5	3	7445	1347	0	39	371	28	12	1	5	1972	20	216	12	16	18	1	3	2	730	1	3738	5374	2	14	49	1068	8	3	8	4398	26	2	7	24	4271	1	1	2	363	4	13	869	0	42	1	10	10	2	9	24	177	2	4	9	37
Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae	141	76	735	48	660	813	162	103	27	13	2163	960	1806	819	893	44	311	538	326	32	354	69	10	609	27	548	6	6	1858	2754	1300	860	90	759	619	121	544	5	1050	69	18	2168	2032	425	470	11	353	14	9	995	77	120	2966	319	661	567	869	5	12	4373	1222	3	1	101	171	2704	364	5	2979	1057	1246	484	597	213	29	743	284	45	888	2106	1603	340	631	121	23	246	3672	32	2113	411
Bacteroidetes_Bacteroidia_Bacteroidales_unassigned	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	2	0	0	1	0	1
Bacteroidetes_Flavobacteria_Flavobacteriales_Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Cytophagaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Saprospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales_Sphingobacteriaceae	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	2	6	1	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	24	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	2	0
Bacteroidetes_unassigned_unassigned_unassigned	89	37	0	222	7	6	23	12	29	89	6	6	116	26	14	8	12	2	9	28	3	16	61	43	37	0	33	14	21	15	18	42	32	7	10	4	8	11	18	8	41	0	6	0	12	28	44	62	50	27	0	44	5	86	32	3	1	18	48	214	2	9	3	28	1	22	7	6	8	2	9	13	102	3	7	7	47	8	1	4	35	5	9	33	85	11	2	39	4	15
DeinococcusThermus_Deinococci_Deinococcales_Deinococcaceae	0	4	13	9	44	0	1	0	0	260	0	0	1	0	0	8	0	28	0	0	0	0	93	0	0	0	50	0	1	0	1	18	2	40	100	0	0	0	0	14	1	0	0	5	35	3	0	357	2	0	0	0	14	0	0	0	7	0	0	0	0	0	0	95	0	0	1	0	2	0	156	0	1	4	0	0	349	749	0	0	0	0	0	0	0	2	0	332	0	0
DeinococcusThermus_Deinococci_Thermales_Thermaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
