genus	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Dehalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Deinococcus	0	1	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Delftia	1	3	45	6	4736	180	42	451	26	8	21	16	48	7	29	1	41	17	3	58	14	9	75	23	9
Denitrovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Desulfarculus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0
Desulfatibacillum	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Desulfitobacterium	0	0	0	2	57	70	0	0	2	0	0	11	3	0	0	0	0	0	0	0	0	0	70	0	0
Desulfobacula	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Desulfococcus	0	0	0	0	13	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Desulfomicrobium	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0
Desulfosporosinus	0	0	0	38	10	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7	3	0	0
Desulfotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Desulfotomaculum	0	1	0	78	175	71	0	0	0	0	0	0	1	0	0	0	0	0	25	12	0	0	456	0	0
Desulfovibrio	0	0	27	936	1048	235	25	0	0	0	0	224	69	0	235	6	16	18	45	0	1	0	6626	22	24
Desulfurispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Desulfurivibrio	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0
Desulfuromonas	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
