OTU	Adenoma1.2065.S1.L001	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma2.2113.S2.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma3.2123.S3.L001	Adenoma30.3509.S30.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer1.2355.S61.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer2.2455.S62.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer3.2513.S63.L001	Cancer30.2863.S90.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy1.2027.S31.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy2.2779.S32.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy3.3021.S33.L001	Healthy30.3291.66.S60.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
otu108	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	1	2	0	0	1	0	0	0	1	0	0	0	0	3	0	0	662	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	16	1	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	7	0	2	1	1	0	0	0	0	0	0	1
otu109	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	512	0	1	0	0	0	0	0	0	0	0	0
otu110	63	92	285	2	30	21	115	68	1	643	0	176	109	0	60	12	48	5	48	0	26	129	28	271	448	35	3	200	0	15	27	97	50	224	34	27	0	115	107	24	8	43	18	1	104	2	36	44	130	88	5	0	101	27	109	1	10	89	169	14	38	31	221	118	0	37	46	0	26	40	39	34	49	133	68	73	171	39	0	38	71	61	128	21	67	52	0	124	107	0
otu111	131	304	213	193	47	121	1384	445	1441	1278	0	412	3	163	181	156	357	16	180	2	252	786	384	6	444	138	65	355	61	157	180	491	162	711	201	35	2	3	390	215	4	362	157	23	268	60	421	744	160	274	0	4	365	469	27	2	52	0	730	4	99	592	973	366	3	88	292	4	235	336	101	70	158	232	600	38	86	0	4	269	119	176	371	94	951	124	124	360	1	0
otu112	17	9	38	32	37	1	108	0	29	0	21	0	39	0	2	0	0	0	0	0	0	16	41	23	26	0	41	11	3	3	1	2	53	14	1	0	2	0	9	0	6	2	0	6	8	93	2	0	18	7	0	4	0	0	13	0	0	28	34	100	5	0	1	8	0	14	0	4	0	0	0	10	0	4	4	0	0	10	31	21	0	2	9	0	19	7	10	41	23	27
otu113	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
otu114	21	0	0	27	6	0	13	47	0	44	1	0	0	0	0	0	0	3	0	0	0	2	0	33	0	6	13	63	0	0	10	0	2	1	34	0	0	9	0	20	0	7	4	0	1	2	1	74	32	0	0	1	0	5	0	0	3	0	0	0	0	0	0	31	0	2	0	12	3	0	37	657	0	0	2	0	148	189	0	0	5	0	8	1	0	1	0	70	0	0
otu115	3271	203	437	300	731	30	6523	4269	264	120	31	24	9	147	34	337	27	128	90	22	7	69	48	148	48	475	62	64	82	40	103	151	1880	44	85	1049	6	2218	5	6	29	77	5	57	65	2558	51	4007	649	860	2	68	69	8	47	29	543	3227	749	149	0	39	1902	41	3	398	123	418	47	7	66	20	3	87	1077	65	282	265	179	24	42	6	1036	26	82	21	1632	114	85	1525
otu116	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	162	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu117	135	1433	725	6	38	1815	549	1169	278	5	136	296	62	131	1755	203	1144	263	679	3045	1212	363	2348	4	383	617	3	642	977	549	203	254	369	354	2031	1777	371	908	1307	1211	811	1238	1538	5	1026	125	1137	519	7	143	1037	630	1498	1021	119	1026	752	1	340	15	1220	258	571	245	491	571	789	72	355	900	1970	1481	493	1113	1450	164	2532	67	1400	518	132	547	1094	2522	1329	2943	10	972	494	459
otu118	10	17	3	19	1	0	0	0	1	0	12	2	67	35	2	0	0	2	3	3	2	10	2	17	14	0	15	0	0	9	2	6	202	2	16	10	0	48	9	11	2	5	2	51	142	79	4	0	0	0	30	0	1	1	14	21	6	0	24	0	15	5	1	4	0	59	7	7	19	3	6	13	5	4	4	4	14	4	40	12	7	7	0	11	1	58	26	73	99	36
otu119	55	651	335	67	214	163	842	2	1227	107	771	188	94	1	337	168	4	76	57	276	226	815	1020	0	994	96	933	1096	1109	76	207	188	193	473	481	38	227	193	604	238	1	686	171	1	448	352	645	149	24	300	0	1839	1873	150	271	211	164	1	845	9	218	4	225	160	34	664	113	1	56	175	173	195	124	894	1241	101	3	599	100	120	34	340	2216	272	1096	43	0	779	221	107
otu120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	1	593	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1591	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	1	4	2	0	1	0	0	0	0	6056	3	1	0	1	0	1	0	0	0	0	0	6	0	3	1	1	8026	6	7	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
otu122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2229	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
otu123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu124	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	39	0	0	0	46	2	0	484	2	0	0	22	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
otu125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0
otu126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	2038	2	0	1	0	0	0	0	0	1	0	0	3	0	2	0	0	2053	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu127	0	0	1	115	0	0	9	28	7	12	0	0	0	0	2	11	0	0	1	4	0	3	0	0	7	0	6	2	0	1	3	13	14	0	1	0	0	3	0	0	5	11	1	0	0	13	1	0	2	0	0	1	0	1	2	3	0	0	6	8	1	2	1	5	0	0	4	0	2	0	0	1	1	1	5	0	0	0	3	1	1	0	2	2	0	3	0	10	0	1
otu128	1	18	520	1	1011	16	81	34	0	5	92	122	1	80	82	209	28	1028	150	0	493	14	188	99	392	77	0	405	60	23	58	522	306	3	82	42	102	310	152	115	0	0	316	23	201	2	435	0	1	0	44	1	108	127	221	0	233	0	492	11	369	200	14	1	43	215	248	2	2	46	64	275	64	413	428	59	403	17	0	334	245	313	429	197	465	0	0	26	1259	129
otu129	0	11	31	2078	0	1044	244	4393	1	1	0	1	0	2	2	2	103	7	0	56	0	0	2	0	67	52	0	74	0	1	64	16	0	0	13	0	0	0	1	0	0	350	8	0	0	0	17	2	0	0	1	4	2	3	0	0	3	0	0	0	25	30	54	0	10	0	238	1	0	0	110	105	0	1	34	0	21	0	0	1	0	0	114	604	2	1	1	0	0	1
otu130	0	0	0	0	0	0	0	12	0	0	0	0	0	0	26	0	0	0	17	0	0	0	0	0	1	5	0	128	0	0	0	0	0	0	13	0	0	0	0	0	0	0	35	0	0	1	0	0	0	0	8	0	15	16	0	0	25	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	17	0	0	15	0	0	0	72	0	0	0	0	0	0	0	0
otu131	6	0	2	0	0	0	0	1	0	0	7	0	102	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	3	0	1	0	0	5	0	2	0	5	2	1	0	0	4	13	0	1	0	0	0	0	18	1	1	9	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	2	1	0	0	0	0	2	2	0	0	1	8	0	0	75	0
otu132	0	16	3	44	0	0	2	0	13	6	1	0	1	94	5	0	0	0	0	3	1	0	6	3	7	0	5	5	3	0	0	4	4	1	1	2	0	0	0	0	0	0	0	0	0	0	6	7	9	5	2	2	5	2	2	2	0	3	14	21	0	0	1	3	3	2	1	0	0	0	1	2	0	8	0	0	24	3	0	0	0	0	11	0	5	0	0	7	0	1
otu133	0	1	0	0	2	0	1	258	0	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	3	0	0	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
otu134	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu135	2	1	2	40	10	1	2	0	0	58	0	0	0	2	1	0	0	3	0	6	0	1	1	21	0	0	4	0	4	2	9	0	2	3	23	0	0	4	0	7	7	8	0	1	11	0	2	66	18	33	0	6	3	9	5	0	1	4	3	5	0	0	72	15	0	0	1	1	4	0	27	1	0	9	0	0	131	125	0	0	0	0	1	0	4	1	0	71	0	0
otu136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu138	2	0	0	0	1	4	0	28	20	0	1	2	6	0	0	0	1	1	2	0	1	16	0	2	0	7	55	0	10	41	3	0	15	8	0	0	0	5	0	3	1	0	0	0	0	7	18	10	21	0	0	18	4	18	1	2	2	0	1	77	0	0	87	22	0	0	2	1	1	4	3	0	114	0	1	0	2	0	0	6	9	0	0	0	8	0	3	0	0	13
otu139	2	0	0	0	12	0	0	0	0	104	1	0	0	0	0	0	1	2	0	2	0	0	0	59	0	0	24	1	1	1	23	0	11	0	33	0	0	0	0	7	0	24	0	0	2	2	0	110	0	0	0	0	0	10	2	0	7	1	0	0	0	0	0	24	0	1	0	0	0	0	79	0	0	0	2	1	207	233	0	0	1	0	0	0	0	0	0	147	0	0
otu140	1	0	0	0	0	0	0	0	0	0	1	1	0	0	14	5	0	1	13	2	0	0	0	0	155	0	0	1	0	0	0	0	0	0	0	0	1	0	0	11	0	0	15	0	0	0	12	0	0	0	0	0	46	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	11	1	0	2	0	0	0	0	6	10	0	3	4	6	0	0	0	0
otu141	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu142	0	0	0	1	0	0	0	0	2202	0	0	0	2	1	0	1	0	0	0	0	838	0	0	0	69	0	0	0	1236	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	207	2	0	0	0	0	559	0	0	0	1	0	1221	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	663	0	0	0	0	0	0	0	0	0	0	0
otu143	3441	2	1	0	5490	7	5	3	1	0	0	4	0	2	278	1527	1	2497	3851	2	1899	0	1	0	6	788	1	624	4	1746	1	1	1	1	0	272	3783	0	0	2031	9	3368	2	916	1	14	321	0	0	0	7	0	1	737	1178	1	2351	1	0	887	1	2	0	1	0	0	566	1	861	1854	0	2	1	2	11	1233	337	6	1	0	0	919	3	1	3	1	0	9	3	1
otu144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	156	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu145	7	0	0	4	10	0	2	0	0	125	0	0	2	0	0	0	0	2	0	0	0	0	0	51	0	0	54	0	0	0	36	0	3	2	53	0	0	0	0	12	0	20	0	0	3	2	0	194	1	0	0	0	0	14	0	0	5	0	0	0	0	1	0	46	1	0	0	1	1	0	122	0	0	0	1	0	261	422	0	0	0	0	0	2	0	3	0	230	0	0
otu146	91	0	0	0	32	0	0	0	0	0	12	0	0	0	0	0	0	11	53	0	1	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	354	0	1	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu147	0	8	88	0	8	24	0	3	0	0	29	50	0	58	76	37	7	1	2	0	65	6	9	0	5	13	1	0	1	402	85	24	0	0	7	0	68	0	0	6	0	61	211	1	90	1	28	0	0	0	66	1	1	150	27	13	47	0	32	10	0	32	0	1	378	50	166	0	82	83	44	0	34	24	1	67	11	44	67	46	15	6	14	25	206	2	100	1	0	83
otu148	5	17	1	887	5	33	8	333	4	16	19	9	3	64	6	12	3	0	2	91	3	29	13	3	11	0	3	9	4	72	106	7	9	74	0	0	0	169	1	2	300	131	5	0	5	56	34	6	48	2	2	12	11	5	7	0	10	23	48	34	6	7	25	13	19	9	23	11	28	1	5	4	2	11	97	2	18	13	4	6	6	16	21	32	1	21	1	80	5	7
otu149	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	3	2	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	14	0	0	0	2	0	0	5	0	0	0	7	5	0	1	0	0	0	0	48	0	0	0	0	3	0	12	13	0	0	0	0	0	5	0	0	24	0	87	0	0	1	0	0	0	0	0	0
otu150	35	0	33	14	1	0	0	5	0	28	0	6	0	12	14	126	6	0	10	0	3	0	7	11	1	18	0	0	0	9	27	19	0	4	19	23	31	19	0	2	67	13	15	105	0	0	4	5	3	13	13	1	12	9	15	17	13	14	39	0	0	3	0	0	0	0	17	0	35	37	11	0	17	19	1	13	8	12	40	20	0	1	0	0	0	4	13	0	19	0
otu151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	1	4	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	23	73	0	0	0	0	0	14	0	67	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	6	1	0	97	0	22	195	0	0	0	0	0	0	0	0	101	5	0	0	0	3	95	0	0	0
otu152	0	0	84	69	0	0	0	0	0	1	0	44	0	0	0	0	0	0	0	0	0	52	0	0	0	19	0	0	0	0	0	0	0	0	0	0	162	0	1	0	0	334	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	64	0	0	0	653	0	274	84	12	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0
otu153	106	5	2	1	1	1379	1	256	11	16	14	45	1639	530	761	152	1	160	11	861	203	0	1456	2	0	335	0	0	4	426	1	190	1	0	64	923	2	2	1802	39	0	1	308	0	0	290	228	61	0	1	265	48	95	266	151	304	270	2	2	20	3	190	2	3	2077	532	1	6	7	1005	0	0	0	0	63	47	11	110	99	0	1	26	0	0	23	47	608	3	2	992
otu154	0	1	0	0	0	0	0	0	0	0	0	0	828	1	37	0	0	0	437	0	0	0	2	0	12	404	2	0	0	0	3	0	5	3	0	0	255	0	1	0	2	4	0	0	0	4	162	0	0	7	1	1	5	0	0	3104	564	0	6	18	0	920	3	1	0	0	0	0	0	1307	0	0	0	0	293	0	846	0	0	0	0	0	0	0	0	0	0	0	0	0
otu155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0
otu156	9	25	0	0	0	0	2	0	0	4	2	0	0	9	4	0	1	10	0	0	4	42	0	0	1	1	0	0	0	24	59	80	0	1	22	108	0	0	131	12	591	4	256	0	356	0	0	150	0	212	0	28	0	61	13	17	0	0	0	7	0	132	0	33	725	2	12	1	0	0	0	0	172	14	66	0	7	0	0	4	224	0	9	255	48	0	0	0	0	267
otu157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	25	0	0	0	1	0	0	0	2	3	0	380	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	1
otu158	2	0	453	164	1	1	23	3	1	1	35	0	1	81	83	1946	2	2034	0	0	1909	518	315	11	74	0	1	1	8	0	794	838	1181	5	960	4	367	1607	3	2546	798	6	1370	1	2091	0	1013	6	0	7	2273	5	189	0	2	2172	1	2	2	0	0	1	2	12	0	1237	0	1	3	1	1205	0	15	262	19	14	0	66	0	78	722	1	2	0	8	2231	1359	47	3002	1
otu159	1	1	0	0	8	0	1	0	0	33	0	0	0	0	0	0	0	0	0	879	0	1	0	0	0	878	1	0	0	17	0	0	0	0	0	1402	0	0	0	2	0	92	0	0	0	0	0	0	0	0	0	0	0	385	51	0	453	1	0	0	0	0	0	0	0	0	35	0	115	0	0	0	181	1	0	0	12	0	0	0	0	79	0	385	0	0	0	0	0	0
otu160	100	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	63	2	0	2	0	437	4	0	3	18	35	0	6733	0	20	1	2	0	0	0	1	3	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	1
otu161	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	1	0	1	2299	0	0	1	1	190	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5
otu162	3	0	1	1	15	0	0	0	0	48	0	0	0	0	0	1	0	2	0	0	0	0	0	25	0	0	22	0	0	0	7	0	1	0	26	0	0	0	0	9	0	14	0	0	0	2	0	81	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0	41	0	0	0	1	0	94	184	0	0	0	0	0	1	0	0	0	111	0	0
otu163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	125	0	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
otu164	1	2	0	1	0	0	13	3	1	0	0	1	0	0	0	0	0	2	1	2656	0	2	1	1	0	8694	3	2	2	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	4	0	0	1	0	0	0	2	0	0	1	1269	2	0	1	2	2	2	5	4345	5	0	3	5	3	0	1	0	0	0	9	18	0	0	0	0	0	0	0	2	0	0	3	1	3
otu165	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu167	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	3	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	36	1	72	0	0	0	0	27	27	0	9	20	26	0	0	0	0
otu168	3	0	0	11	11	0	0	0	0	45	0	0	0	0	0	0	0	2	0	0	0	0	0	33	0	0	17	0	0	0	10	0	6	1	37	0	0	0	0	9	0	11	0	0	2	0	0	124	0	0	0	0	0	6	0	0	5	0	1	0	0	1	0	18	0	0	0	0	0	0	80	1	0	1	1	0	198	200	1	0	2	0	0	2	0	1	0	122	0	0
otu169	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
otu170	3	0	6	0	5	0	0	0	0	47	0	0	0	0	0	0	0	3	0	0	0	0	0	25	0	0	5	0	0	0	10	0	2	0	12	0	0	0	0	2	0	12	0	0	0	0	0	63	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	15	0	0	0	0	1	0	39	0	0	0	0	0	81	131	0	0	0	0	0	0	0	0	0	78	0	0
otu171	0	0	0	0	0	0	0	0	0	1	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu172	117	2116	52	4	254	1409	1275	22	27	84	46	240	693	50	519	359	244	55	518	458	574	1969	1368	291	2871	338	4	481	1359	499	472	960	68	30	491	653	235	1483	1515	1147	20	1299	758	5	3218	5	2647	160	129	909	307	2102	1175	744	282	145	345	0	1787	3	317	349	861	190	134	102	581	3	312	473	740	1216	793	418	440	94	136	1486	648	588	389	694	1278	600	513	413	2	345	109	297
otu173	0	3	1	0	21	34	3	0	0	0	60	11	532	2	8	0	56	12	97	72	2	32	0	0	0	4	1	1	2	28	238	249	9	227	21	283	12	57	0	74	0	4	21	0	3	0	81	1	0	0	89	5	157	0	140	496	191	0	118	5	272	0	9	2	547	86	39	0	17	94	15	72	31	3	15	1	45	74	112	18	226	5	100	507	100	21	0	0	15	22
otu174	1	240	3	9	19	3	0	1	0	3	4	6	2	19	6	3	6	1	15	166	16	120	29	0	1	16	106	6	11	68	5	1	2	5	0	30	1	14	172	15	0	1	40	0	38	0	150	2	3	1	225	1	511	6	25	1	29	0	46	0	163	116	0	40	2	3	36	0	9	2	447	110	1	2	28	0	31	19	140	154	133	12	8	2	20	0	0	271	2	16
