phylum	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000838261711362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001785075452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000583319449226	0	0	0	0	0	0	0	0	0.00108699017423	0	0	0	0	0
Chlorobi	0.000900197833947	0	0.000494605007146	0.000429448817413	0.000641651982619	0.00044889494536	0.00155690304655	0	0	0.001693688756801	0	0.002326779497267	0.002211630147264	0.000301848028564	0.000919081501149	0.0018010385066	0.000813899781178	0.000540808890153	0.000665614153962	0.000362824858952	0.004906498697028	0.004489747906079	0.001638672632811	0	0	0.002771810406445	0.001431809064729	0.00232504843477	0.000300481175377	0.001498793442868	0	0.000601142043727	0.0012166056561	0	0	0.0004332630541	0	0.002665678959845	0.00054045853138	0	0	0.00376918821133	0.000882994581187	0	0.00153348468054	0.000996534525643	0.001416893630987	0.00118516917368	0	0.00272369723996	0.000362126626999	0.000292472856976	0	0.000932634375106	0	0.000803501363677	0.00046270027839	0	0.00299740414693	0	0.000554073230628	0.002916234681025	0.006557512981408	0.00113893240538	0	0	0	0.000493020347633	0.000671445342541	0.000971667412154	0	0	0.01243590898929	0	0.001870195658034	0.00193466355212	0.000697533078675	0.0029966732051	0	0.000527619216696	0.002209266120049	0	0.00696958369875	0	0.00054534061461	0.000778557250158	0.000939239222623	0.01011106820974	0.00396384120748
Chloroflexi	0.001022171078341	0.01580176778685	0.002923915575012	0	0	0.015172687130873	0.0180811466676	0.001233970659554	0.001003788594967	0.004389808304667	0.0039024221707	0.012025632860797	0.001424762670188	0.00370868665483	0.016844798708	0.004705741785465	0.000670474575706	0.0177508095617	0	0.012739919881305	0	0.006208082870334	0.014193873799325	0.00252408649284	0.00178680703152	0.0115743785855	0	0.014747981180899	0.00114117078257	0.003651501443759	0.000446638208741	0.00264423558752	0.00178382242344	0.000950957947832	0.0406937390711	0.015111762295142	0	0.007602763215279	0.000792435940426	0.00288987530141	0.00203878304158	0.012002565087224	0.00517868884073	0.000274634830585	0.00477713887195	0.000447270651779	0.010367496539754	0	0.00837973155886	0.0064848239024	0.00018157420971	0.000505249984712	0.0024825431782	0	0	0.01383351152504	0	0.003445512167879	0.00334165879992	0.000535131939283	0.00352163822223	0.038429146547754	0.0015195651832	0.0295021965761	0.0216501530084	0.000195097493567	0.00064962678559	0.00681358333704	0.00235708052272	0.00160088087245	0.000250479129523	0.001962997711472	0.00744418134047	0.008882229621013	0.006557080934023	0	0.001573834550571	0.001202149404461	0	0.00370436996221	0.003883042534192	0.004539663077317	0.00538614506682	0	0.000799594192152	0.000966132822214	0.0192328751505	0.008929196686577	0.00417215348585
Chlorophyta	0.0149025117955	0.0383989231256	0.118134118328562	0.0350313856662214	0.0186104081481	0.1170118320564	0.03445204988365	0.0108674209764	0.0931695460391	0.0368292797283	0.023299853004592	0.0212526685867	0	0	0.0399327992599	0.0896520649722	0.00860409588403	0.050340020836	0.009359263870002	0.06000884944135	0.0954816450958	0.26831470044	0.0170253688650395	0.0515749384621	0.02508804581643	0	0.0285880285558	0.1430980286268	0	0.0110189112648	0.11343843652358	0.0315929951605	0.07134025967725	0.0174245666441	0.074685266368203	0.007390609974745	0	0	0.0803324943423	0	0.0373569736304	0.02106072253055	0.064059331802	0.03166514201479	0.00893050586232	0.613246318811754	0.00716257065394	0.0638383815054	0	0.21796790945952	0.1388648512818	0.00363592567083	0.0341160504158	0	0.0268556122192	0	0.0062862970953843	0.0822065538092	0.000387767034407	0.130573979135	0.00842166074072	0.0109113522896	0.191650853298263	0.0101995064319	0.119661849543041	0.0141112469422	0.0285763426149	0.0570527025529415	0.05843828503529	0.014722338295873	0.1201732763615	0.0157962727583876	0.080263920244737	0.0286331058196	0.200262601996498	0.0467852076147	0.06747287200831	0.032497114056277	0.0104522659765	0.0389231867376	0.0646512837994	0.0897071171228	0.22984016082967	0.0661970126332395	0.0146511024185	0	5.35629188263e-05	0.07858468910957	0.44903438326094
Chrysiogenetes	0.000408193813033	0	0	0	0	0	0	0	0	0	0.00127157804503	0	0.000570538083777	0	0	0	0	0	0.00058462834106	0	0	0	0	0	0	0	0	0.00256644917525	0	0.000301818342195	0	0.00265422514088	0	0	0	0	0	0	0.000397714826459	0	0	0	0.000649781650638	0	0	0	0	0	0	0	0	0	0	0	0	0.000628134524106	0	0	0	0	0	0	0.00266972793556	0.000279374073219	0	0	0	0	0	0	0	0	0	0.00156857539237	0	0.000474562699519	0	0.000441040817944	0	0	0	0	0.00180216439063	0	0	0	0	0	0.00145846381028
Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001650266001115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria	0.000643216431241	0.000216726957458	0.00334502021474	0.00226415020742	0.000263487314027	0.002113969448924	0.001675599333189	0.000851691693793	0	0	0.000262017299561	0.002660765381206	0.009050686678263	0.000255581596651	0.00148141480444	0.001101262241863	0.000842030785774	0.00101409150506	0.001818264208462	0.004304163207224	0.004554092567686	0.01105188504918	0.000463880320255	0.001319928066289	0.000915842971051	0.000580035901081	0.001289437210645	0.004591052115505	0.003461478800139	0.001169935272586	0.001108511427657	0.001245660317793	0	0.000493396192776	0.00028043811121	0.000334400003814	0.0010219388976	0.002169565867125	0	0	0.001019010020515	0.01742150648708	0.002900263847844	0.0007513228825351	0.003999446708709	0.000281841631091	0.006002818743824	0.001224322696497	0.000279960034695	0.002825115024539	0.000175720638283	0	0	0.001825227431872	0.002390721222557	0.002477839268338	0.000667010034472	0.000802453597887	0.00034972486741	0.006549450296644	0.00424283939883	0.000281268040792	0.007215329397727	0.000288810490643	0.001121959184679	0.001544856914681	0	0.000883791992412	0.003665536082874	0.00101001804709	0	0	0.006183611110073	0.004380551836098	0.002357624618696	0.002436804668962	0.00133672849931	0.001050038061198	0	0.002336894906398	0.00492394006389	0.00150852658602	0.01493454069427	0.002034979879747	0.001405252675324	0.000300007886121	0.00087930708422	0.02003077469216	0.009707635267235
Deferribacteres	0	0	0	0	0	0.000359399246532	0	0	0.00037226665922	0	0	0.000529067989378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000450871957399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000367361723268	0.000230465009846	0	0	0	0	0	0	0	0	0.000393662717912	0.000741417978192	0	0	0	0.000445106980201	0	0	0	0.000462624582689	0	0	0	0	0	0	0	0	0.00037823913278	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus	0	0.001149289898271	0.002205870496786	0.003365982216757	0.000524160388307	0.004084838862102	0.004251671444711	0	0.000388083739304	0.000335234818359	0.000601083388853	0.004680993533599	0.002496802402693	0.001152086095237	0.001581477435237	0.001756582031696	0.002854877382064	0.001562007929248	0.002223186919047	0.001195284395663	0.004465781852476	0.00490351546454	0.001159005604736	0	0.003164323912217	0.004110247930437	0.001337218211973	0.009602873163306	0.000892762954106	0.000200597065358	0.001397743653812	0.00167330082854	0.002221094300591	0.000890181288115	0.001950512265187	0.000300318629719	0	0.001152585843736	0.000645839478538	0	0.001252902903551	0.019287823092034	0.004720578668773	0.000165472796484	0.002060274371033	0.00104115714362	0.001592238513193	0.001944988107509	0.001327150995305	0.003050517665228	0.000788564919401	0.000239737309519	0.001399581098044	0	0.00109026281917	0.003924729066056	0.000220256107856	0.00038605009423	0.004930843754101	0.002273272039046	0.000951976097672	0.000724226776785	0.021564584737555	0.00263282861907	0.001950642161433	0.000500058859814	0.000789013146334	0.000762300854627	0.001269301769791	0.001808078688828	0.000415884584023	0.001891622667262	0.01201528197384	0.001687824537186	0.00445913020978	0.000360461712691	0.002663645836398	0.008340088665451	0.000653344956466	0	0.00475626590791	0.004665514149935	0.00547656521245	0.002543091716819	0.003379277261402	0.001042535707399	0.00093438212045	0.02048825413629	0.001038568085048
Dictyoglomi	0.001254070696231	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001038936575755	0	0.000531057951996	0	0	0	0	0.00130595224016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000442484894648	0	0.00100689414412	0	0	0	0	0	0.000268677411163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000540395114299	0	0	0.00115084715055
Elusimicrobia	0.00072728949296	0	0.000776320007344	0	0.000454123254239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000752370035379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000708618811071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	0	0	0	0.001225437046792	0.000282700875087	0.012106415430273	0.00078070779779	0	0	0	0.008728711788066	0.007892946797858	0	0.000318380157288	0.0136565745599	0	0	0	0	0	0.131798620051	0	0.000635940609024	0.000443968715564	0.00577527306682	0	0.13182881081	0	0	0	0	0	0.000790833215972	0	0	0	0	0.0112030603446	0	0	0.02101940585917	0.00550349032269	0	0.041035367070429	0	0.006227374346605	0.000263338753096	0	0.00110703908205	0	0	0	0	0	0.00936722918462	0	0.00141855879254	0.000886113516109	0.005888365071198	0	0.000503931910394	0	0.00050173065646	0	0	0	0	0.00589850558816	0.000302505032976	0.00450578236968	0	0.016198966625288	0	0.010161509312278	0.000796802976864	0	0.054829643588483	0	0	0	0	0.00447029887545	0.001450500773386	0	0	0.000657390601719	0.0209713875593	0.251668989597461
Firmicutes	46.4556374158108	43.8528390719208	38.941984672438	42.8765978075556	43.5598819768756	47.7449659601853	26.1885714409409	56.7083602735072	28.5863169939571	38.9694270470738	46.9384741393766	44.1082723208904	49.8070428863241	22.7272402659056	31.0635480434821	51.6382166100126	49.0791274093593	15.4651559809458	40.8044753597961	51.5846739086198	39.9367204426949	46.5852326704271	29.9543236155861	42.2306026163746	36.8427925704401	41.8767205984957	44.2115001259544	53.4354308078638	34.4350177083292	15.9502882054025	21.6797775207457	27.224189033567	22.5954913713635	44.1673422753401	54.3147049841417	16.5486963643539	5.80014258272766	58.6392010890484	27.8238708834231	11.4327633985582	52.4302290062337	53.1549694190409	56.8993055505928	57.105910072703	52.6410133393726	50.3533045444415	39.0697875580354	22.6709696166694	29.6621994635674	70.0603078600837	16.6338899938964	22.3188942747943	21.4531605952623	26.4197055776726	44.8922570943338	51.6023296165895	4.07195697123275	35.2989475400962	54.2324443467471	35.9798452061069	70.4737135806309	71.1134117563186	56.6950452311342	20.4590451811744	56.821675676832	32.0874884789349	16.6241248427874	26.6681694833666	28.5523837466442	32.5857826169352	36.1404558002294	47.7501814560028	57.0100489957253	56.5653247631424	47.9977163385365	63.349025294927	31.6576868370987	28.2196308743729	29.7622522108976	31.3289126972636	76.0114812928307	20.801239457303	57.406625024841	32.2548883872822	45.5564967609317	32.1549739814113	29.3101981448305	37.7056476814966	47.5585330718243
Fusobacteria	0.01438785909779	0.001358376713711	0.002079844889474	0.000492835094989	0.019696842385935	0.053456296602935	0.420349794780308	0	0.255429844335634	0.02764248018545	0.048151882638893	0.01591381328824	0.00304826101623	0.002363094753645	0.0103490694973	0.00457027677293	0	1.38660786408718	0.019114519853565	0.001006115666272	0.00223072259139	0.030858162397412	0.018364601273521	0.00050152570767	0	0.02916497378464	0.004035338913167	0.03002679011813	0	0.000196992832394	0	0.00231273783983	1.58570275017453	0.001755265673021	0.208345789309277	0.195611972521533	0.002324197417303	0	0.001987636499899	0	0.010607699979964	0	0.007219403226306	0.099408703202707	0.0129152569195	0.00315154518497	0.095751481798389	0.019638058713255	0.119283736140361	0.018211879744072	0.000757764811982	0.001007639567965	0.00167792290635	0.072090755067501	0.003421245394007	0.040061196811928	0.00206342769074	0.002410451953004	1.00836003327341	0.005033278847533	0.158524883874087	0.272681517841506	0	0.009123670943044	0	0.002913099814228	0.04708364512698	0.000507686723677	0.02975527423867	0.23788234425877	0.058159334571169	0.012698248244879	0.00233105714059	0.031567505670005	0.056657370398202	0.000618219131195	0.000734342102931	0.002067534254794	0.001863320126826	0.024322891131897	0.04902377660791	0.00112904232003	0.01992453831113	0.000586755246542	0.012746882218054	0.000461133850673	0.000504651684658	0.00163966911521	0.008068087438228
