genus	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	3.987	0	0	0	0	0	0	0	0.74166	0	1.42026	6.21119	0	0	0	0	0	0.87759	0	0	0.74728	3.55497	1.88558	0	0	0	0	3.163	0	0	0	0	0	0	0	0	0	0.69092	2.33145	0	0	0	0.41693	0	1.51312	0.94831	1.28911	0	0.59634	2.44775	0	0	0	0	0	0	0	0	0	0.93445	3.86979	0	0	0	0	0	0	0	0	0	0.31103	0	0.32803	0	0.40362	1.95873	2.36393	0	0	2.32904	0.76741	0	0	0.51025	0.03491	0	0	0.97949	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	0	0	0	0	0	0	0	0	0	33.70445	0.93461	0	0	0	0	0	0	0	0	56.29651	0	27.86363	0	0	0	0	14.53092	0	0	0	0	0	18.26675	0	0	0	18.20602	0	0	0	0	0	0	10.42085	45.28462	19.97365	0	0	0	14.48331	0	0	0	0	14.05453	0	42.41168	0.8126	12.249	0	0	0	0	0	0	0	0	0	13.41344	0	0	4.06311	0.99373	0	16.40174	0	0.07676	0	0	19.00429	11.27857	0	0	0	0	0	4.09773	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	4.8805	6.94449	3.29517	2.49937	8.68631	5.17693	7.59999	7.87073	14.15788	3.69441	10.03808	2.80026	5.61982	2.29221	5.22717	5.12149	4.53961	3.62358	0.609	7.1234	1.74123	8.05193	4.51748	0.73164	5.16237	4.68227	11.0336	10.29785	7.47441	7.47591	8.99631	6.35339	4.45461	3.43745	1.80692	2.40513	0.77179	12.38175	3.71197	13.08924	6.54953	3.96214	0.75382	0	1.6914	4.10657	3.54697	8.95053	1.54942	1.24257	6.14756	5.4989	5.11696	0.15813	3.20448	9.83616	5.99708	0.4716	0.56958	1.79052	3.61631	11.41969	9.92275	4.02408	5.07431	3.13	9.30426	5.86668	8.52297	1.83201	4.16205	0.62906	5.95302	7.10118	3.22071	2.59134	8.2239	25.00955	1.21919	2.48826	2.188	18.75285	1.90216	11.63406	5.69372	0	5.13479	7.15799	3.6723
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18529	0	0	0	0	0	0	0	0.02123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10548	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0	0	0	0	0	0	1.09664	0	0.02347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11571	0	0	0	0	0	0	0	0	0.14076	0	0	0	0	0	0	0	0	0	0.35398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23327
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0	0	0	0	0	0	0.14873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0	0.04929	0	0	0.05123	0	0.12311	7.45421	3.7069	0	1.12863	0	0.55166	0.44462	0.19896	0	0.92623	0	0.62647	0	0.25566	0	3.77884	0.01034	0	0	0	0	0.25105	0	0.13931	0.1324	0	0.23875	0	0	0	8.04089	0	0	0.23651	0	0	28.20433	0	0	0.21235	0	0	1.08001	0.74568	0	0	0.05056	1.69281	0.49064	0	0	13.34534	0	5.72306	0.16216	0	0	0.68333	0.01899	0	0.07205	0	0	0.16626	0	0	0.79503	0	0.04033	0	0.1883	1.78374	0	0	0.02644	0	0	0	0.04978	0.00878	0	0
