family	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	13.66733	31.6042	18.39673	14.76716	4.28378	10.57607	12.53088	6.96274	5.1908	7.04321	8.81984	4.08145	3.60374	8.37607	7.31742	7.92317	7.472	14.70826	5.97637	3.41591	3.31726	28.56182	7.04578	9.23605	22.29129	20.48085	8.10153	23.47547	5.79881	7.32476	2.61618	16.37434	7.52559	11.52894	9.52256	10.84072	5.05023	4.87243	7.91088	14.51365	7.12169	8.41849	12.86856	0.00696	19.30606	11.6913	6.32003	8.33601	13.26276	7.22379	5.25297	10.74186	5.82465	8.12997	10.07579	20.142	1.90264	1.37327	14.36212	18.50674	13.41904	17.26051	4.62285	4.90013	29.29893	9.31373	12.99068	16.12088	6.59823	14.45517	21.40279	29.69179	2.59478	7.91022	35.92631	9.57734	1.25976	9.22965	9.91353	5.12745	20.55989	4.7109	30.0751	10.75476	26.5054	20.61784	3.46115	2.09298	9.31838
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.07546	0.15013	0.89883	0.10033	0	0.47814	0.58043	0.10783	0	0.43821	0.06843	1.25014	0.492	0.53466	0.53893	0.12849	0.05827	0.38502	0	0	0.19837	0	0	0.15057	0.38855	0.50159	0.30253	0.02984	0.42381	0.28117	0	1.004	0.19848	0.39506	0.04587	0.37976	0.08158	0.58806	0.05201	0.87714	0	0.38607	0.39593	0	0.16852	0.14813	0.48738	0.48617	0	0.1572	1.17696	0.8649	0.05296	0.21221	0.27572	0	1.45031	0	0	0	0	1.93657	0.3829	0.2452	0.14697	0.41073	0.37533	0.9291	0.78894	0	1.27443	0.22924	1.3519	0.31737	0.12986	0.41413	0.51238	0.2067	0.16391	0.14487	0	1.02202	0.23469	0.27222	0.00921	0.01363	1.19624	0.41331	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	0	0	0	0	0	0.19303	0.55005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51116	0	0	0	0	0	0	0	0	0	0.05887	0	0	0	0	0.4251	0.48986	0	0	0.34946	0	0	0.06116	0	0	0	0	0	0	0	0	0.324	0	0	1.24247	0	0	0	0	0.31514	0.09502	0	0	0	0	0.49517	0	2.71658	0	0.14473	0.14428	0	0	0	0.03043	0	0	0.00809	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	16.91437	11.75738	16.23935	16.43886	13.38562	26.09988	15.38841	20.1076	0.79023	12.81867	16.42851	22.85159	39.0201	16.66105	11.79044	25.02187	11.17991	2.62206	10.49177	11.4522	10.43198	19.62694	7.67993	22.10822	9.8714	26.33721	9.68165	24.78596	4.50215	7.59749	9.93534	22.7486	3.84485	17.63956	22.87024	10.8139	0.50837	18.94259	21.80936	7.13095	13.9015	51.64742	17.11036	0.13242	15.78922	17.31435	17.24289	14.70614	6.63728	14.34943	5.57813	2.02012	8.44959	6.69137	8.60995	23.74112	0.84438	12.8384	17.74619	16.74564	11.85207	0.58728	54.03912	13.34089	19.14896	12.20401	3.68559	19.84156	14.79031	8.96322	2.60179	16.26163	34.15711	25.71012	25.01197	30.54029	8.90569	9.78927	4.3914	5.6898	17.59305	15.36174	11.80862	15.35383	20.53178	0.41189	10.10866	56.8228	38.97919
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0	0.40932	2.39887	0	1.26296	0	3.76844	0	0.92858	0.22104	0	6.92611	0	0.86213	0.20106	0.9367	0	0	0	0	2.56457	1.93952	0	0	0.41917	0	0.63357	0.34857	0.18615	0	0.06568	0.05645	2.17719	0	1.5486	4.10148	0	0.13989	1.03711	0.47239	2.09847	0	0.71274	0.09501	0.26605	0.94829	0.54307	1.12907	0	2.13568	0	0.79068	0.52636	5.2015	1.27238	0	0.42956	3.76302	1.12613	0	0.11372	1.13585	0.02728	6.05054	1.26773	0	3.11127	0.25306	0.36018	6.72093	4.43697	0.24055	0	0.91705	2.43882	2.97822	0	7.27159	0	2.62005	3.81647	3.42698	0	1.24572	1.31091	7.02786	1.52269	0	1.95337
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0	0	0	2.67651	0	1.97264	0	3.05257	6.21799	0	4.36965	2.23539	0	4.14572	2.34338	2.86439	0	0	0	0	6.12416	1.76918	0	0	0	0	0	0	3.02663	0	0	0	0	2.11478	0	0.49236	0	7.55843	0	0	0	0	1.58385	0	2.53656	3.97114	4.59277	4.50066	0	3.47853	0.51334	0	0	0	1.76118	0	0	0	8.32304	0.52318	2.64442	0	2.43619	0.38131	0	0	1.22596	0	0.60348	5.34238	11.857	0	0	0.08314	0	4.12358	0	0.18576	0	3.35744	5.33094	0	0	0	1.86408	0	1.60485	11.29713	0.57711
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.20109	1.74312	0	0	0.72313	0	0	0.41943	0.11536	0.11352	0.49252	0	3.95752	0	0	0	0	0.32887	0.71565	0.10836	0.05505	0	1.63413	5.1214	0.19353	0	3.36237	2.30362	0	0	0.65429	0	0	1.69887	0.02701	0	0	0.09993	0	0	0.20509	0	0	5.14224	0	0	1.15048	0	0	0.57484	21.24887	0	0	0	0	6.08916	1.09669	0	4.65701	0.96818	3.06067	6.37066	0	1.48937	1.31073	17.66573	0	0	0	0.07342	0.35765	3.17769	0	4.19717	0	0.01462	0	0	5.46529	0	0	5.93856	0.07161	0	0.28155	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	0	0	0	0	0	0.18088	0	0.16218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08637	0	0.98842	0	0	0	0	0	0	0	0	0	0.09222	0	0	0	0	0	0	0	0.24347	0	0	0	0	0	0	0	0	0	0	0	0	0.13536	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0	0.65332	0.24562	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11149	0	0	0.02826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14367	0.09811	0	0	0	0	0	0	0	0	0	0	0.05867	0.58143	0	0	0	0	0	0	0	0	0.14525	0	0	0	0	0.00865	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.14685	0.14116	0.02259	1.0255	0	0	0	2.18196	0.60306	0	1.66947	0	0	0	0.0787	0.02256	0.27595	0.2982	0.32871	0.34193	0.10344	0	0.59507	0	0.52696	0	0	0.86331	0	0.09173	0	0.20995	0.14856	0	0	0	0	0.4187	0	0	0	0.05493	0.20153	7.65955	0.10354	0.52353	0	0.40635	0.9323	0.10932	3.21115	0	0	0.24762	0.64085	0	0.25967	0	0.33764	0	0.20185	0	0	0.03168	0.107	0.45949	0.07818	0.49902	0	0	0	0	0.3639	0	0	0.08324	0.52242	0	0	0.65469	0.29859	0	0	0	0.65538	0	0	3.63542	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.18921	0	0.56765	0.24402	0.25663	0.135	0.92656	0	0	0.09272	0	0.49303	0.44906	0.49965	0.08057	0.5357	0.38984	0.24444	0.42469	0	0.18595	0	0	0	0	0	0.30528	0	0.0452	0	0.24027	0.2185	0.25057	0.15552	0.18211	0.14703	0.23087	0.84797	0	0.54227	0.23592	1.42095	0	0	0	0	0	0.10636	0.22692	0	0	0.33512	0	0	0.20286	0.13351	0.06549	0.21372	0.23865	0	0.34423	0	0	0.1033	0	0.30006	0.43263	0.35447	0.06138	0.4395	0.52008	0.56559	1.2988	0	0.04605	0.07049	0.0252	0.75978	0	0	0	0	0.16328	0.084	0	0.94084	0.27094	3.45738	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
