family	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae	1	1	3	0	1	0	0	1	2	0	2	1	1	0	0	0	1	1	2	0	0	2	2	1	1	2	0	4	0	3	1	0	3	0	0	1	1	6	1	0	2	1	0	10	0	3	1	0	0	0	1	0	4	0	4	4	3	0	2	0	1	1	3	3	2	0	2	2	1	1	1	0	0	3	1	0	2	2	1	3	1	1	1	2	3	0	1	5	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae	2	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae	2	7	1	5	0	0	2	2	2	3	3	4	1	3	0	1	4	1	2	1	3	6	1	1	1	0	0	0	0	1	0	1	1	1	1	1	2	1	12	0	2	6	5	1	2	2	1	1	0	9	2	0	1	6	4	1	0	0	3	4	1	1	2	2	2	1	0	4	3	0	0	3	4	0	5	2	5	2	1	0	2	1	5	0	4	4	10	7	7
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0	1	2	1	1	2	2	1	1	0	1	1	0	0	0	1	1	1	2	1	0	3	1	0	1	0	0	3	1	0	1	1	2	2	2	3	1	3	3	0	0	0	0	10	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	2	1	0	1	1	0	0	2	1	0	1	0	0	1	0	2	1	0	0	0	1	0	1	2	0	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae	2	1	1	3	1	2	4	0	8	0	4	0	5	1	3	1	0	0	3	0	3	2	1	0	0	3	4	0	1	3	6	5	0	4	1	1	2	4	2	8	1	8	4	10	3	5	4	2	0	1	1	2	0	2	6	1	2	0	9	5	2	0	3	4	2	1	1	2	0	4	2	2	15	3	1	2	6	5	0	3	1	12	3	6	5	2	4	8	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	2	2	5	4	1	3	7	2	3	2	2	5	5	1	1	1	1	2	0	2	1	6	5	0	7	2	1	4	3	1	2	4	5	3	1	7	1	6	1	0	2	10	7	5	5	0	5	2	1	2	2	2	0	0	4	6	4	3	6	3	2	4	15	2	2	4	4	5	9	4	2	8	10	3	7	4	2	4	2	4	9	2	7	1	1	0	5	18	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Halothiobacillaceae	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	2	1
