species	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Wolbachia endosymbiont of Brugia malayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000844527684853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolbachia endosymbiont of Culex quinquefasciatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000928590030002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolbachia endosymbiont of Onchocerca ochengi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177570702144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthobacter autotrophicus	0	0.00027377443227	0.000680484178539	0	0	0	0	0	0	0	0	0	0	0	0	0.000757172853527	0	0	0	0	0	0.00182016342707	0	0	0.000466855160634	0	0.000203825280776	0.00267214215165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.17563148603e-05	0	0	0	0	0	0.000347811449831	0	0	0.000162159101933	0	0	0.000327001359496	0	0.000891370500473	0	0	0.000225491465063	0	0.00416951129532	0	0	0	0	0.000222530783066	0	0	0	0.000897576252186	0.0004739286054	0.00122488002035	0	0	0.00028387539254	0.000688806019377	0	0	0.000935555956977	0	0	0	0	0	0	0.00790575208444	0.00113889532521
Xanthomonas albilineans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035643404557	0	0.000310190800004	0	0	0	0	0	0	0	0	0	0.000229431280246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000298093430818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas alfalfae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000692427378557	0	0	0	0.000285279201776	0.000260782431166	0.000527777725877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000393857211957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075597298912	0	0	0	0	0	0	0.000308644554674	0	0	0	0	0	0.000706274354536	0	0	0.000513701961142	0	0	0	0	0
Xanthomonas campestris	0.0004838265955	0	0	0.000224205421388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033251296976	0.00023527214769	0.000477790250773	0	0	0	0	0	0	0	0	0.000522054071722	0	0.000251602662758	0.000516474073101	0	0	0.0002201822577	0	0.00239374550725	0.000914511337806	0.000167342404497	0.000294983169121	0.00397244733416	0.00224784984225	0.000556301045453	0	0	0.000615313587884	0	0	0	0	0	0	0	0	0	0	0	0	0.00139297036409	0.000499749650384	0	0.00359362768409	0.000476690041703	0	0	0	0	0	0	0	0	0	0	0	0	0.000620282565189	0	0.000169672211372	0	0	0	0	0	0	0.001990792835754	0	0	0
Xanthomonas citri group	0	0	0	0	0	0	0	0	0	0	0.000353008821929	0	0	0	0	0.00053836822019	0	0	0	0	0	0.00194127035879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000283578276176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000302763409554	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas euvesicatoria	0	0	0	0	0	0	0	0	0	0	0	0	0.000308247924072	0	0.000182704378454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000315270031371	0	0	0	0	0	0	0.00377350512845	0	0	0	0	0	0	0.000151482333173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000983697449953	0.000423731668576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas oryzae	0.000241962118998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000518124894782	0	0	0	0	0	0	0	0.000178906694071	0	0.000262221000122	0	0	0	0	0	0	0	0	0	0	0	8.17041646567e-05	0.000710602038624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00215852449427	0	0.000317314792326	0	0	0	0	0	0	0	0	0.00154960717346	0.000237880153056	0	0	0	0
Xenorhabdus bovienii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000321962625781	0	0	0	0	0	0	0	0	0.000306574193755	0	0	0	0	0	0	0	0	0	0	0.000450315120431	0	0.000415398169807	0	0	0	0	0	0	0	0	0.000245002116837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000271765606195	0	0.000328883955058	0	0	0	0	0	0	0	0	0	0	0	0	0
