SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
CCIS65479369ST-4-0	12571016	11571016	1000000	32177	335563	353303	208	232
CCIS70398272ST-4-0	65412264	64412264	1000000	17379	148885	305957	206	228
CCIS71301801ST-4-0	80751154	79751154	1000000	29475	218938	292303	201	230
CCIS71578391ST-4-0	62616028	61616028	1000000	18526	210352	308715	211	237
CCIS72607085ST-4-0	35804414	34804414	1000000	30379	325168	279249	209	232
CCIS74239020ST-4-0	51819248	50819248	1000000	17339	148816	330173	207	228
CCIS74726977ST-3-0	38711493	37711493	1000000	12173	86591	274152	210	228
CCIS76563044ST-4-0	54944168	53944168	1000000	25531	238976	293174	208	231
CCIS76845094ST-20-0	131850113	130850113	1000000	30365	339926	329520	211	235
CCIS77100899ST-4-0	52603017	51603017	1000000	22545	189620	317691	209	234
CCIS77252613ST-4-0	78222033	77222033	1000000	16017	109255	274563	210	228
CCIS78100604ST-4-0	67302310	66302310	1000000	28257	299707	322213	208	233
CCIS78318719ST-4-0	14637517	13637517	1000000	10732	127756	341171	213	241
CCIS79210440ST-3-0	1643901	643901	1000000	18903	208368	202746	207	218
CCIS80834637ST-4-0	82188498	81188498	1000000	28122	238852	304906	208	231
CCIS81139242ST-4-0	50699375	49699375	1000000	25829	228686	311541	206	229
CCIS81710917ST-20-0	84106047	83106047	1000000	29944	282464	350545	212	237
CCIS81735969ST-20-0	63845955	62845955	1000000	25852	202793	331427	210	233
CCIS81887263ST-4-0	78431887	77431887	1000000	19782	190406	293903	209	229
CCIS82146115ST-4-0	75141821	74141821	1000000	27561	284290	297505	206	229
CCIS82507866ST-3-0	17946731	16946731	1000000	29397	211972	230997	203	209
CCIS82944710ST-20-0	7808323	6808323	1000000	26809	297495	302224	205	228
CCIS83445808ST-4-0	34395377	33395377	1000000	22154	204838	340174	210	238
CCIS83574003ST-4-0	69497481	68497481	1000000	28626	232270	317572	209	226
CCIS83870198ST-4-0	58082457	57082457	1000000	20570	197941	330814	214	250
CCIS84543192ST-4-0	23880237	22880237	1000000	20126	143374	306799	209	225
CCIS85214191ST-3-0	42264878	41264878	1000000	38866	328087	257919	203	218
CCIS87116798ST-4-0	38976352	37976352	1000000	16639	132606	267739	209	237
CCIS87167916ST-4-0	30098339	29098339	1000000	11870	128396	408471	210	236
CCIS87252800ST-4-0	20975587	19975587	1000000	28088	217780	344187	210	238
CCIS87290971ST-4-0	43174084	42174084	1000000	25690	228164	330711	205	232
CCIS87605453ST-4-0	71662208	70662208	1000000	29260	308898	272545	200	218
CCIS88007743ST-4-0	53228765	52228765	1000000	30078	404190	341560	207	235
CCIS88317640ST-4-0	62485430	61485430	1000000	25769	240280	324402	210	234
CCIS90164298ST-4-0	55772772	54772772	1000000	12655	117039	310492	206	236
CCIS90166425ST-4-0	45340953	44340953	1000000	20246	155337	333856	209	233
CCIS90443472ST-4-0	47021512	46021512	1000000	14006	142160	269862	210	239
